step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.4621942816069353,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.196131106242968,0,0.0,0.7977523309151441,0,0.0,1.0,0,0.0
15.0,1,1.0,0.125,8.062672565945615,1,1.0,0.38284470383874425,0,0.0,0.7863469727334395,1,1.0
20.0,2,7.0,0.875,7.404860428317178,1,6.0,0.4939806745074123,1,1.0,0.3161249505486973,2,7.0
25.0,2,17.0,1.5454545454545454,6.272892907006878,1,11.0,0.2583558448773415,1,6.0,0.5659140712914528,2,17.0
30.0,5,29.0,1.9333333333333333,6.071570795163229,2,18.0,0.23677349099603495,1,11.0,0.3666705693894185,3,29.0
35.0,3,26.0,1.625,8.144019927545438,1,7.0,0.621160414904339,2,19.0,0.30408473778096773,3,26.0
40.0,6,43.0,2.5294117647058822,5.39342154534381,2,13.0,0.34145617919682025,3,32.0,0.36158360559351393,5,45.0
45.0,7,69.0,3.6315789473684212,5.840235139824006,2,22.0,0.26278799600897823,4,49.0,0.30130043943575957,6,71.0
50.0,8,105.0,5.25,6.86898898431136,2,32.0,0.3209609377180577,6,75.0,0.12861883309024355,8,107.0
55.0,9,149.0,7.842105263157895,5.349349894537485,2,42.0,0.27746039176776877,7,109.0,0.16814592263089956,9,151.0
60.0,12,200.0,11.11111111111111,2.993505915295067,3,54.0,0.027870422230130282,9,148.0,0.00021623628654389839,12,202.0
65.0,10,198.0,11.647058823529411,2.6214911163114043,1,10.0,0.34305793041948945,9,193.0,0.08952111688992971,10,203.0
70.0,12,253.0,12.65,3.5306094566091986,3,17.0,0.2329970158813355,9,242.0,0.2153910288203784,12,259.0
75.0,9,281.0,13.380952380952381,4.110960038212589,0,12.0,0.3073814330737046,9,287.0,0.13512382261282863,9,299.0
80.0,12,336.0,15.272727272727273,4.016649394859745,1,4.0,0.37506411401924145,11,340.0,0.16655722051100133,12,344.0
85.0,13,400.0,18.181818181818183,3.725326489989236,1,9.0,0.12581744241464768,12,397.0,0.2560678234460623,13,406.0
90.0,14,468.0,19.5,3.0304766232190006,2,17.0,0.1520182026996257,12,457.0,0.1274866545186068,14,474.0
95.0,16,546.0,21.84,3.4273409583254444,2,27.0,0.3299838775867947,14,525.0,0.025419386992937654,16,552.0
100.0,17,630.0,24.23076923076923,3.334882968154348,2,37.0,0.3058859654905835,15,599.0,0.14682075221848528,17,636.0
105.0,17,670.0,24.814814814814813,3.1720981859003294,0,0.0,0.9570789624996845,16,676.0,0.053792207302413624,16,676.0
110.0,18,755.0,26.03448275862069,3.065044643929459,0,0.0,0.27440972247540024,17,761.0,0.03296527706483883,17,761.0
115.0,20,853.0,27.516129032258064,2.5555671288474544,1,5.0,0.4588898865757171,19,854.0,0.1142731224649039,20,859.0
120.0,20,953.0,29.78125,3.354229758664254,1,10.0,0.41963491959320154,19,949.0,0.034791821235835255,20,959.0
125.0,21,1055.0,32.96875,3.885003652677021,1,15.0,0.6890100651266705,20,1046.0,0.04501519504899627,21,1061.0
130.0,24,1168.0,37.67741935483871,1.806088553065038,3,23.0,0.17461938686742712,20,1146.0,0.00324484093259432,23,1169.0
135.0,25,1287.0,41.516129032258064,1.853128780506467,2,32.0,0.08986025318285379,21,1251.0,3.6690987604399768e-06,23,1283.0
140.0,24,1407.0,45.38709677419355,2.2108207641982642,2,42.0,0.0,21,1360.0,0.1169615081001033,23,1402.0
145.0,26,1527.0,41.270270270270274,2.047408140078415,2,52.0,0.0,21,1465.0,0.05220170408013074,23,1517.0
150.0,28,1660.0,44.86486486486486,1.8325747224124502,2,62.0,0.3271427072601893,25,1583.0,0.04548132583495931,27,1645.0
155.0,33,1816.0,49.08108108108108,0.6333828058802686,2,72.0,0.14684005739643338,27,1714.0,0.011900077746568979,29,1786.0
160.0,37,1993.0,49.825,0.47698057730883503,4,90.0,5.335436844370018e-05,28,1853.0,5.022528705847306e-07,32,1943.0
165.0,37,2173.0,50.53488372093023,1.0487662840838803,4,110.0,0.18827279028986463,28,1993.0,0.0,32,2103.0
170.0,37,2355.0,53.52272727272727,1.2958234610070296,5,132.0,0.14456551162329703,28,2133.0,0.016120645900913215,33,2265.0
175.0,35,2412.0,53.6,1.2235418899233308,2,89.0,0.17032318678654682,28,2273.0,0.04979091902357964,30,2362.0
180.0,41,2583.0,51.66,1.613638004976909,4,37.0,0.11073373809509804,29,2416.0,0.06260549204349361,33,2453.0
185.0,40,2776.0,53.38461538461539,2.028029199520683,4,50.0,0.1840481663668501,30,2562.0,0.11037718453678101,34,2612.0
190.0,41,2975.0,55.092592592592595,1.8830035628213517,4,70.0,0.2745710499468284,31,2716.0,0.04824117401944133,35,2786.0
195.0,41,3178.0,57.78181818181818,2.2186939188518338,4,90.0,0.2961374502309173,32,2874.0,0.03005808983446468,36,2964.0
200.0,41,3302.0,56.93103448275862,2.2925146052914203,2,26.0,0.2810156764432199,33,3037.0,0.02029667019324766,35,3063.0
205.0,42,3510.0,59.49152542372882,3.1853723945192916,4,44.0,0.17310283025912995,33,3202.0,0.05661962831663622,37,3246.0
210.0,39,3658.0,65.32142857142857,2.758694491963103,0,6.0,0.2624218748977403,34,3369.0,0.022064185936146657,34,3375.0
