step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.606349607440643,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.8672634849866245,0,0.0,0.7736518603893732,0,0.0,0.9235185129994326,0,0.0
20.0,1,0.0,0.0,8.858257479331444,0,0.0,0.937668287194053,0,0.0,0.7689922072384086,0,0.0
25.0,0,0.0,0.0,11.22046878023416,0,0.0,1.0,0,0.0,0.9048112440511117,0,0.0
30.0,2,2.0,0.3333333333333333,5.702104686007739,0,0.0,0.9020742633271939,2,2.0,0.2047630695496059,2,2.0
35.0,3,17.0,2.8333333333333335,4.475491583648052,0,0.0,0.5812114630991618,3,17.0,4.7695523346539706e-06,3,17.0
40.0,4,35.0,5.833333333333333,2.272920651248221,1,3.0,0.47786902732689535,3,32.0,0.0,4,35.0
45.0,5,56.0,6.222222222222222,2.0745813962352404,2,9.0,0.0016573529935075182,3,47.0,0.0,5,56.0
50.0,4,75.0,6.25,5.006175760829492,1,13.0,0.5586662274872519,3,62.0,0.0,4,75.0
55.0,4,95.0,6.785714285714286,6.370377291388897,1,18.0,0.0,3,77.0,0.4213644322667924,4,95.0
60.0,5,115.0,7.1875,7.198860506030911,1,23.0,0.6340690250096729,3,92.0,0.3107389297313244,4,115.0
65.0,5,112.0,7.0,6.095039213401919,0,0.0,0.0075689787211793555,5,112.0,0.0010095429933975897,5,112.0
70.0,7,142.0,8.875,5.689502448170134,1,5.0,0.12264624242345026,5,139.0,0.3913573090771034,6,144.0
75.0,9,176.0,10.352941176470589,4.689011572905633,2,13.0,0.3364805580906606,6,163.0,0.21540115218391664,8,176.0
80.0,10,216.0,11.368421052631579,4.107750705634154,2,23.0,0.4674561328842333,6,193.0,1.697474602198639e-06,8,216.0
85.0,8,256.0,12.19047619047619,5.043408085298523,2,33.0,0.003615502149427473,6,223.0,0.03529345310466591,8,256.0
90.0,11,305.0,12.708333333333334,3.7893523341643687,2,43.0,0.19281727776259147,8,262.0,0.1710658025642553,10,305.0
95.0,13,361.0,15.695652173913043,4.3532319059090545,4,57.0,0.1707262407882742,9,304.0,0.08691929020928556,13,361.0
100.0,14,426.0,17.04,3.9379200417805764,4,77.0,0.32724262657406633,9,349.0,0.20589520876180395,13,426.0
105.0,17,499.0,19.192307692307693,2.8900880601674075,4,97.0,0.16990271706134288,12,402.0,0.06831200015304144,16,499.0
110.0,18,584.0,21.62962962962963,2.7386282090350385,5,121.0,0.1851748428260398,13,463.0,0.0024806225458903035,18,584.0
115.0,21,684.0,26.307692307692307,1.3759109438666108,7,153.0,0.11805889561255693,14,531.0,1.956721240882305e-06,21,684.0
120.0,22,793.0,31.72,1.2041072043407541,8,192.0,0.0944582878737271,14,601.0,0.0,22,793.0
125.0,22,903.0,34.73076923076923,1.2569660490869967,8,232.0,0.013281374640374592,14,671.0,0.0,22,903.0
130.0,21,973.0,33.55172413793103,1.8527580577229612,7,232.0,7.989016366065888e-06,14,741.0,0.0,21,973.0
135.0,22,1082.0,37.310344827586206,2.2644332753753997,7,267.0,0.0,15,817.0,0.058319197135387274,22,1084.0
140.0,24,1194.0,38.516129032258064,1.9264201175418298,7,302.0,0.21394091460074838,15,892.0,0.04189601016437381,22,1194.0
145.0,25,1300.0,40.625,0.9841566461603358,7,320.0,0.03461630511261012,17,975.0,3.7352149240673914e-05,24,1295.0
150.0,28,1436.0,42.23529411764706,1.8563835039404242,9,362.0,0.09857895693927808,17,1060.0,0.03881245221427168,26,1422.0
155.0,28,1576.0,47.75757575757576,1.5808533069618131,9,407.0,0.1865809129264037,17,1145.0,0.052026791306320104,26,1552.0
160.0,30,1708.0,50.23529411764706,0.8715353668060155,10,444.0,0.02128045274256358,17,1230.0,0.024800691635073566,27,1674.0
165.0,30,1853.0,51.47222222222222,1.6745116805059252,10,494.0,0.0,17,1315.0,0.046830074230176696,27,1809.0
170.0,26,1665.0,46.25,2.359797113854108,6,382.0,0.03686912551871069,18,1402.0,5.7547987672185706e-05,24,1784.0
175.0,26,1621.0,42.6578947368421,2.8169293884454736,3,227.0,0.22775989467197863,19,1495.0,0.12320320530151127,22,1722.0
180.0,26,1744.0,43.6,2.7488938659008872,4,167.0,0.16253634650664125,20,1592.0,0.09182590565171898,24,1759.0
