step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.271155260950033,0,0.0,0.9270900241614656,0,0.0
10.0,0,0.0,0.0,12.297440942837696,0,0.0,0.8738188994034147,0,0.0
15.0,2,5.0,0.2777777777777778,7.782400447821971,2,5.0,0.4473420948141747,2,5.0
20.0,4,25.0,1.3888888888888888,8.31821116477574,4,27.0,0.51643628814129,4,27.0
25.0,6,48.0,2.4,6.607276884291862,6,48.0,0.38769114713968794,6,48.0
30.0,6,72.0,3.6,7.140132680380896,6,76.0,0.42934506796552724,6,76.0
35.0,6,102.0,4.857142857142857,8.341655274931323,6,102.0,0.437785597278467,6,102.0
40.0,8,137.0,5.269230769230769,8.673593811545674,8,137.0,0.4853627674243531,8,137.0
45.0,8,177.0,6.8076923076923075,8.430615629286224,8,177.0,0.4564001542958662,8,177.0
50.0,10,221.0,9.208333333333334,6.606974226189539,10,221.0,0.35096103208128937,10,221.0
55.0,14,284.0,11.833333333333334,5.139342371200004,14,284.0,0.2755898742682151,14,284.0
60.0,16,358.0,14.916666666666666,4.310938901040735,16,358.0,0.17711169695765108,16,358.0
65.0,12,385.0,13.75,5.245538504621321,12,406.0,0.32410420207495644,12,406.0
70.0,15,452.0,17.384615384615383,3.9690803442805747,15,452.0,0.17643180186294238,15,452.0
75.0,14,513.0,13.5,6.229414686114526,14,522.0,0.39063688812023967,14,522.0
80.0,14,583.0,17.147058823529413,6.9244979974071725,14,583.0,0.4065064919514698,14,583.0
85.0,16,655.0,16.375,6.147909362805349,16,655.0,0.2646577339112794,16,655.0
90.0,16,373.0,10.36111111111111,5.24831486217485,16,599.0,0.21906530524163356,16,599.0
95.0,9,220.0,6.470588235294118,5.760319719950977,9,431.0,0.28341782745109917,9,431.0
100.0,11,220.0,6.285714285714286,6.330551149314123,11,368.0,0.30381827267690803,11,368.0
105.0,18,294.0,8.166666666666666,5.011221197069854,18,421.0,0.17902145806328107,18,421.0
110.0,17,324.0,9.0,5.302157420331812,17,486.0,0.3063774922157159,17,486.0
115.0,14,386.0,11.028571428571428,6.3053829447990495,14,522.0,0.3531873053854925,14,522.0
120.0,15,186.0,5.027027027027027,5.359624930504233,15,382.0,0.2297650449528992,15,382.0
125.0,21,282.0,7.833333333333333,4.176945770685617,21,415.0,0.17739198924320318,21,415.0
130.0,20,231.0,6.416666666666667,3.6691587423054752,20,406.0,0.1475473908447683,20,406.0
135.0,16,180.0,5.0,4.718872706854495,16,324.0,0.2077193131352223,16,324.0
140.0,14,152.0,4.0,4.653344689036628,14,359.0,0.1942415628902256,14,359.0
145.0,14,123.0,3.075,5.391072438261223,14,335.0,0.2661353779305915,14,335.0
150.0,14,191.0,4.340909090909091,8.016326028984956,14,349.0,0.4291811194433577,14,349.0
155.0,15,263.0,6.743589743589744,7.087935412321306,15,403.0,0.33977542142130496,15,403.0
160.0,20,353.0,9.051282051282051,5.90469957796841,20,491.0,0.22607429498288914,20,491.0
165.0,20,447.0,12.771428571428572,4.504776085768755,20,585.0,0.1489540839274745,20,585.0
170.0,23,559.0,15.971428571428572,3.2648408691574593,23,697.0,0.1786711011542509,23,697.0
175.0,22,667.0,19.61764705882353,3.329728265405618,22,808.0,0.19674944422854626,22,808.0
180.0,24,779.0,21.63888888888889,4.035910323982993,24,917.0,0.1529057901513052,24,917.0
185.0,24,899.0,21.404761904761905,5.183349438986195,24,1037.0,0.262379225249698,24,1037.0
190.0,24,1019.0,24.261904761904763,4.4367059054820785,24,1157.0,0.192515044234928,24,1157.0
195.0,28,1155.0,28.875,3.303744664956143,28,1294.0,0.15859978394323082,28,1294.0
200.0,30,1304.0,31.047619047619047,2.951704043972132,30,1443.0,0.09651409029622399,30,1443.0
205.0,26,1035.0,24.642857142857142,3.5408237778988028,26,1425.0,0.17467700729998692,26,1425.0
210.0,20,1000.0,23.25581395348837,4.5351716617822255,20,1235.0,0.21695047869320766,20,1235.0
215.0,26,1118.0,26.61904761904762,4.737765788207112,26,1256.0,0.11572744697690834,26,1256.0
220.0,23,1214.0,24.28,5.4984414905978385,23,1364.0,0.2826816913641509,23,1364.0
225.0,24,1329.0,29.533333333333335,5.665472870575438,24,1468.0,0.2808827309554662,24,1468.0
