step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.594412492136202,0,0.0,0.9183114976736313,0,0.0
10.0,0,0.0,0.0,11.4993420097513,0,0.0,0.8470735964218821,0,0.0
15.0,6,11.0,0.6111111111111112,5.998814441590252,6,11.0,0.3777408348114745,6,11.0
20.0,10,55.0,3.0555555555555554,5.4007682819818985,10,55.0,0.32924692489871005,10,55.0
25.0,7,68.0,2.8333333333333335,5.0707487185513935,7,82.0,0.3077568667931729,7,82.0
30.0,8,106.0,4.818181818181818,7.448122329689348,8,107.0,0.4091753538552958,8,107.0
35.0,8,146.0,5.615384615384615,8.44561164937698,8,146.0,0.30932045094608185,8,146.0
40.0,10,189.0,6.75,8.196787044555945,10,189.0,0.44705619275979425,10,189.0
45.0,10,239.0,9.958333333333334,7.193359136909353,10,239.0,0.43885353058112175,10,239.0
50.0,14,294.0,11.307692307692308,5.351314357299672,14,294.0,0.2594125900640729,14,294.0
55.0,16,372.0,13.285714285714286,5.526896064987797,16,372.0,0.237897095061388,16,372.0
60.0,16,452.0,17.384615384615383,4.1095144927577545,16,452.0,0.16649764082579757,16,452.0
65.0,18,541.0,19.321428571428573,4.26829866015546,18,541.0,0.2639145124852187,18,541.0
70.0,18,631.0,22.535714285714285,3.9218474698158556,18,631.0,0.17743952011878752,18,631.0
75.0,20,729.0,18.225,6.438674649347928,20,729.0,0.3674339469685346,20,729.0
80.0,20,829.0,23.02777777777778,5.423693249961894,20,829.0,0.3288723908526984,20,829.0
85.0,24,938.0,23.45,4.058424496162294,24,938.0,0.2183961960760693,24,938.0
90.0,28,1076.0,28.31578947368421,3.5477555899989794,28,1076.0,0.16522270623598762,28,1076.0
95.0,29,1217.0,28.976190476190474,3.540030398103282,29,1217.0,0.13658720479859227,29,1217.0
100.0,30,1366.0,34.15,3.1227989145688713,30,1366.0,0.146448421547232,30,1366.0
105.0,30,1516.0,36.095238095238095,3.0235028361272973,30,1516.0,0.18557247529360185,30,1516.0
110.0,32,1674.0,36.391304347826086,4.019630474426144,32,1674.0,0.21383617675766017,32,1674.0
115.0,32,1834.0,38.208333333333336,4.049413770368936,32,1834.0,0.20649931238523264,32,1834.0
120.0,36,2004.0,42.638297872340424,2.4845848802624486,36,2004.0,0.09182496645855952,36,2004.0
125.0,38,2193.0,44.755102040816325,2.945975682138764,38,2193.0,0.14828254580106842,38,2193.0
130.0,40,2385.0,49.6875,2.1831645929714494,40,2385.0,0.08103635223803501,40,2385.0
135.0,40,2585.0,49.71153846153846,3.15368326669065,40,2585.0,0.12207458481760582,40,2585.0
140.0,40,2785.0,54.6078431372549,2.4338214102864275,40,2785.0,0.07998119234366739,40,2785.0
145.0,42,2994.0,53.464285714285715,3.468671129858862,42,2994.0,0.17046140931602746,42,2994.0
150.0,42,3204.0,55.241379310344826,3.1492929836288686,42,3204.0,0.17859871625578344,42,3204.0
155.0,48,3426.0,60.10526315789474,1.7821242147525023,48,3426.0,0.08717447101392269,48,3426.0
160.0,50,3674.0,61.233333333333334,2.107327893027375,50,3674.0,0.09276033902602153,50,3674.0
165.0,52,3927.0,65.45,1.7588095325013677,52,3927.0,0.05131448585588387,52,3927.0
170.0,52,4187.0,66.46031746031746,2.2767883982176467,52,4187.0,0.09330854993012251,52,4187.0
175.0,54,4449.0,72.93442622950819,1.474455856535147,54,4449.0,0.06295370628263113,54,4449.0
180.0,54,4719.0,76.11290322580645,1.6700376764065463,54,4719.0,0.060467637038839145,54,4719.0
185.0,54,4989.0,73.36764705882354,2.2881289886375846,54,4989.0,0.11233187140555,54,4989.0
190.0,58,5271.0,76.3913043478261,1.6723270182519425,58,5271.0,0.057789098562099295,58,5271.0
195.0,60,5569.0,79.55714285714286,1.714463864965834,60,5569.0,0.07202978759068537,60,5569.0
200.0,62,5875.0,82.74647887323944,1.5781779224113996,62,5875.0,0.06552420444354395,62,5875.0
205.0,62,6185.0,85.90277777777777,1.6710755792761534,62,6185.0,0.07144449399244063,62,6185.0
210.0,64,6497.0,86.62666666666667,1.8147903471263829,64,6497.0,0.06434629976556563,64,6497.0
215.0,64,6817.0,94.68055555555556,1.4462752510420058,64,6817.0,0.056001850218823625,64,6817.0
220.0,65,7138.0,88.12345679012346,2.151571942391961,65,7138.0,0.12183808265973804,65,7138.0
225.0,68,7472.0,93.4,1.5454623092541455,68,7472.0,0.07252478157261347,68,7472.0
230.0,72,7824.0,92.04705882352941,1.563569661688763,72,7824.0,0.07949259696624007,72,7824.0
235.0,74,8193.0,99.91463414634147,1.2320789209093304,74,8193.0,0.049126362927834594,74,8193.0
240.0,74,8563.0,100.74117647058823,1.5785821534639908,74,8563.0,0.06917120441219161,74,8563.0
245.0,74,8933.0,108.9390243902439,1.2290056570868417,74,8933.0,0.049149170501039126,74,8933.0
250.0,74,9303.0,109.44705882352942,1.642863056637761,74,9303.0,0.060147736302052564,74,9303.0
255.0,74,9673.0,111.183908045977,1.7382938890108925,74,9673.0,0.08237310968626442,74,9673.0
260.0,78,10051.0,114.2159090909091,1.4114414867777774,78,10051.0,0.05348591778000767,78,10051.0
265.0,78,10441.0,121.40697674418605,1.1761406929840021,78,10441.0,0.044315368264542465,78,10441.0
270.0,78,10831.0,123.07954545454545,1.454838562808109,78,10831.0,0.0759376980345556,78,10831.0
275.0,78,11221.0,128.97701149425288,1.3435249814455477,78,11221.0,0.046119010357863414,78,11221.0
280.0,78,11611.0,130.46067415730337,1.4897774905082277,78,11611.0,0.057983511824163954,78,11611.0
285.0,78,12001.0,136.375,1.432011617954904,78,12001.0,0.04038188483036398,78,12001.0
290.0,78,12391.0,134.68478260869566,1.6974753023600153,78,12391.0,0.09493325426021125,78,12391.0
295.0,82,12789.0,139.0108695652174,1.4064641226094527,82,12789.0,0.06421193874017846,82,12789.0
300.0,82,13199.0,140.41489361702128,1.39146334872908,82,13199.0,0.063119443651674,82,13199.0
305.0,84,13619.0,148.0326086956522,1.1032926634176907,84,13619.0,0.041366790762596146,84,13619.0
310.0,84,14039.0,149.35106382978722,1.3487810417918753,84,14039.0,0.06197226559724234,84,14039.0
315.0,84,14459.0,153.81914893617022,1.3396004908728896,84,14459.0,0.041108753721058905,84,14459.0
320.0,84,14879.0,158.2872340425532,1.4261345199281656,84,14879.0,0.05485155770322967,84,14879.0
325.0,84,15299.0,162.75531914893617,1.0939495268604844,84,15299.0,0.04000927841991599,84,15299.0
330.0,86,15725.0,167.2872340425532,1.10664175775156,86,15725.0,0.039267750666135415,86,15725.0
335.0,86,16155.0,170.05263157894737,1.236054319349121,86,16155.0,0.04142650355444626,86,16155.0
340.0,86,16585.0,176.43617021276594,1.1332404913148373,86,16585.0,0.030565529033018457,86,16585.0
345.0,86,17015.0,181.01063829787233,1.0374583568121412,86,17015.0,0.03870992309578551,86,17015.0
350.0,86,17445.0,187.58064516129033,0.8868396327204754,86,17445.0,0.03887422536794533,86,17445.0
355.0,86,17875.0,184.27835051546393,1.4512778836778313,86,17875.0,0.049016601766954104,86,17875.0
360.0,86,18305.0,194.7340425531915,1.1767841451621064,86,18305.0,0.0322717150988439,86,18305.0
365.0,86,18735.0,191.1734693877551,1.6774930674452422,86,18735.0,0.06033924589033666,86,18735.0
370.0,86,19165.0,201.73684210526315,1.1522537502016503,86,19165.0,0.051052178386961085,86,19165.0
375.0,88,19602.0,204.1875,1.1074109035537312,88,19602.0,0.03592387384047004,88,19602.0
380.0,88,20042.0,208.77083333333334,1.131966438122847,88,20042.0,0.039129310242788505,88,20042.0
385.0,88,20482.0,213.35416666666666,1.0389963860000955,88,20482.0,0.047972901590735306,88,20482.0
390.0,88,20922.0,217.9375,1.1056156748516999,88,20922.0,0.04162867315853236,88,20922.0
395.0,88,21362.0,217.9795918367347,1.3184963762332624,88,21362.0,0.037738417856535124,88,21362.0
400.0,88,21802.0,227.10416666666666,1.0964045279466044,88,21802.0,0.03919438619913755,88,21802.0
405.0,88,22242.0,224.66666666666666,1.370240166285162,88,22242.0,0.035820279803205374,88,22242.0
410.0,88,22682.0,236.27083333333334,1.1173785157879852,88,22682.0,0.038600348164685896,88,22682.0
415.0,88,23122.0,238.37113402061857,1.1433492192187569,88,23122.0,0.041916624538730345,88,23122.0
420.0,88,23562.0,245.4375,1.1104097322415316,88,23562.0,0.038180770942449274,88,23562.0
425.0,88,24002.0,242.44444444444446,1.4596265000914752,88,24002.0,0.046388580387044326,88,24002.0
430.0,88,24442.0,254.60416666666666,1.1547945647865303,88,24442.0,0.04098734546046351,88,24442.0
