step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.995842006405693,0,0.0,0.8917101310615401,0,0.0
10.0,0,0.0,0.0,12.350242892759274,0,0.0,0.8539721799407004,0,0.0
15.0,4,6.0,0.3333333333333333,7.711519240795409,4,6.0,0.41425830641820177,4,6.0
20.0,8,43.0,2.388888888888889,7.624362586099888,8,43.0,0.40488601285540476,8,43.0
25.0,8,83.0,4.15,6.248945578029396,8,83.0,0.3931689684780507,8,83.0
30.0,10,131.0,6.55,6.22590184441075,10,131.0,0.35207644782908426,10,131.0
35.0,10,181.0,8.619047619047619,6.4285911024681255,10,181.0,0.38751112351117223,10,181.0
40.0,7,157.0,6.038461538461538,7.084304792855502,7,183.0,0.4637773029424257,7,183.0
45.0,8,194.0,6.928571428571429,7.408425932458348,8,194.0,0.43309255669339497,8,194.0
50.0,13,247.0,8.517241379310345,5.9462227767500035,13,247.0,0.2559599459631357,13,247.0
55.0,11,265.0,8.548387096774194,5.083368391976727,11,288.0,0.25413354753687745,11,288.0
60.0,10,314.0,12.076923076923077,6.192342694394807,10,315.0,0.31006318411145795,10,315.0
65.0,12,368.0,11.870967741935484,8.027394983565912,12,368.0,0.30871422254766145,12,368.0
70.0,12,428.0,16.46153846153846,6.850306177297797,12,428.0,0.27013330213360986,12,428.0
75.0,10,464.0,14.06060606060606,7.097310221416311,10,465.0,0.46747739407660316,10,465.0
80.0,13,523.0,17.433333333333334,6.7570158375540945,13,523.0,0.41841229739311403,13,523.0
85.0,17,597.0,16.583333333333332,4.718098990963931,17,597.0,0.24463986017256598,17,597.0
90.0,19,656.0,20.5,3.401028782154688,19,681.0,0.20788863408465638,19,681.0
95.0,17,735.0,20.416666666666668,5.13076441121908,17,741.0,0.24117970565671593,17,741.0
100.0,19,826.0,22.324324324324323,6.413367201861566,19,826.0,0.22866522645627385,19,826.0
105.0,19,921.0,25.583333333333332,5.944246223279611,19,921.0,0.2663373981237318,19,921.0
110.0,17,969.0,26.18918918918919,5.254741977184372,17,980.0,0.304000311789473,17,980.0
115.0,17,1054.0,28.486486486486488,6.414773402069082,17,1054.0,0.37731233908251505,17,1054.0
120.0,21,1145.0,31.805555555555557,3.735558591594062,21,1145.0,0.1279938926811337,21,1145.0
125.0,20,1231.0,32.39473684210526,4.137193301655308,20,1243.0,0.2243381578505661,20,1243.0
130.0,20,1331.0,35.972972972972975,4.977547051768935,20,1331.0,0.22223096182021676,20,1331.0
