step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.92737856637892,0,0.0,0.9201045995434839,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.443322063112836,0,0.0,0.9144872537540925,0,0.0,0.8493875754008189,0,0.0,0.9504269155436595,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.65070193643593,0,0.0,0.6876193431344712,0,0.0,0.8827549559306842,0,0.0,0.9755508779738783,0,0.0,0.9897764767151075,0,0.0
20.0,2,8.0,0.8,8.612366523717064,2,8.0,0.4758662632883431,0,0.0,0.8916067485551582,0,0.0,0.5075346878174352,0,0.0,0.9931141990742051,2,8.0
25.0,3,23.0,2.3,8.072026677307013,2,18.0,0.17376261867179887,0,0.0,1.0,1,5.0,0.6436335194822984,0,0.0,0.914088203706075,3,23.0
30.0,4,42.0,3.5,7.70831392829631,3,32.0,1.4970926219538169e-05,0,0.0,0.9726876683656307,1,10.0,0.5845233717681938,0,0.0,0.9208767149672378,4,42.0
35.0,6,67.0,5.583333333333333,5.83944918499759,3,47.0,0.2331655858761796,0,0.0,0.9576304099736137,3,20.0,0.2464941689459942,0,0.0,0.9072714144849426,6,67.0
40.0,6,97.0,7.461538461538462,4.765733259171702,3,62.0,0.3411412394174417,0,0.0,0.2934773064158196,3,35.0,0.030584621967345307,0,0.0,1.0,6,97.0
45.0,6,95.0,5.588235294117647,6.075716023660967,4,80.0,0.41814172880006556,1,4.0,0.5000245717294222,1,25.0,0.2965128900868595,0,0.0,1.0,6,109.0
50.0,6,125.0,7.352941176470588,7.8880232616805515,4,100.0,0.31429596255043524,1,9.0,0.48573581297228097,1,16.0,0.7138168008880832,0,2.0,0.9420950531045742,6,127.0
55.0,5,141.0,8.8125,7.489368603964261,4,120.0,0.0062465927727756495,0,0.0,0.7711966090308475,1,21.0,0.7475856577005565,0,2.0,0.973717699256411,5,143.0
60.0,7,147.0,8.166666666666666,5.244733343160835,5,144.0,0.16128054885466,0,0.0,1.0,1,1.0,0.5490162597335746,1,6.0,0.46544362419714175,7,151.0
