step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.132491467502808,0,0.0,0.9864841501354923,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.916938946276666,0,0.0,0.9609079712787755,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,1.0,0.14285714285714285,10.554501148059941,1,1.0,0.6537639653911497,0,0.0,1.0,0,0.0,0.9662110447843086,0,0.0,1.0,1,1.0
20.0,2,8.0,0.8888888888888888,10.319106865054382,2,8.0,0.5621150070801417,0,0.0,0.9897812455893293,0,0.0,0.8716195910141398,0,0.0,1.0,2,8.0
25.0,3,19.0,2.111111111111111,7.635330297932169,2,18.0,0.0285221217747182,0,0.0,0.9349331027522023,1,1.0,0.6361497441694889,0,0.0,1.0,3,19.0
30.0,4,39.0,4.333333333333333,7.838742714242051,3,33.0,0.0,0,0.0,0.9874112794560389,1,6.0,0.6556429754199552,0,0.0,1.0,4,39.0
35.0,4,59.0,5.363636363636363,8.569555297051936,3,48.0,0.25,0,0.0,1.0,1,11.0,0.49417504758250586,0,0.0,0.8956741472592574,4,59.0
40.0,4,79.0,6.583333333333333,8.924862158418073,3,63.0,0.4829945342033007,0,0.0,1.0,1,16.0,0.458234619736539,0,0.0,0.9780844755227114,4,79.0
45.0,4,99.0,9.0,5.675613803888421,3,78.0,0.27710668006305444,0,0.0,1.0,1,21.0,0.005479688048243311,0,0.0,1.0,4,99.0
50.0,7,128.0,10.666666666666666,4.585710410772465,5,98.0,0.17261645234398723,0,0.0,1.0,2,30.0,0.3333333333333333,0,0.0,1.0,7,128.0
55.0,8,166.0,13.833333333333334,4.49546327917525,6,126.0,0.2369066738785935,0,0.0,0.9582457818497854,2,40.0,0.3133835554817383,0,0.0,1.0,8,166.0
60.0,8,206.0,14.714285714285714,5.040159543228152,6,156.0,0.2832425513146478,0,0.0,0.9890748371778357,2,50.0,0.3423804591733809,0,0.0,1.0,8,206.0
65.0,10,251.0,15.6875,3.746930189972824,7,189.0,0.10337569041682053,0,0.0,1.0,3,62.0,0.2924611569393053,0,0.0,0.9647018004445977,10,251.0
70.0,11,297.0,17.470588235294116,3.609798217535623,7,221.0,0.13118816959103646,0,0.0,0.9984879693961586,4,79.0,0.1901015697316417,0,0.0,0.9742130825034392,11,300.0
75.0,11,352.0,17.6,4.257779397504384,7,253.0,0.02632835904391342,0,0.0,0.8021003525605515,4,101.0,0.2635568978319159,0,0.0,1.0,11,354.0
80.0,13,416.0,18.08695652173913,5.456542113893256,8,292.0,0.26098715784751997,0,0.0,0.8269188007118977,5,126.0,0.2679177812068787,0,0.0,0.9171370351657232,13,418.0
85.0,14,482.0,20.956521739130434,4.476735620712005,9,333.0,0.11848316832712488,0,0.0,0.8048095674161371,5,149.0,0.0,0,0.0,0.9393482154893369,14,482.0
90.0,12,343.0,15.590909090909092,4.409686407888542,7,303.0,0.1265928720011991,0,0.0,1.0,5,174.0,0.0,0,0.0,0.8647766661562946,12,477.0
95.0,8,221.0,9.208333333333334,6.4591588210649755,3,148.0,0.247742244444356,0,2.0,0.9043779616211431,5,199.0,0.15336852314951985,0,0.0,0.7782658840678573,8,349.0
100.0,6,225.0,8.653846153846153,7.478350988562034,1,148.0,0.42065769694801325,0,2.0,0.9080215533880546,5,224.0,0.18275165878071972,0,0.0,0.8250340912861291,6,374.0
105.0,11,270.0,10.0,5.3384743051330155,4,162.0,0.16040882458382563,1,3.0,0.3981527924879271,6,256.0,0.35910781363136507,0,0.0,0.9762529476130862,11,421.0
110.0,17,342.0,11.793103448275861,4.268312111453485,7,190.0,0.12632313427041367,3,16.0,0.19079776229237605,7,287.0,0.2690484700281725,0,0.0,0.9281485038890122,17,493.0
115.0,20,439.0,13.303030303030303,4.431600522817258,7,225.0,0.21009512145288434,4,36.0,0.3301563282314575,9,327.0,0.18100809236676202,0,0.0,1.0,20,588.0
