step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.207140587432402,0,0.0,0.9518327475545095,0,0.0,0.9341326691246488,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.661440577068781,0,0.0,0.9191992568830097,0,0.0,0.9702265798795762,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.531242491634648,0,0.0,0.8308929835013117,0,0.0,0.9610780133383597,0,0.0,0.973044313776923,0,0.0,1.0,0,0.0
20.0,1,2.0,0.2857142857142857,8.503750953683559,1,2.0,0.015375720524132552,0,0.0,0.9521474783636482,0,0.0,0.9587926441884854,0,0.0,0.9341326691246488,1,2.0
25.0,2,12.0,1.7142857142857142,7.2077685304545,2,12.0,1.2709362055449912e-05,0,0.0,0.9494299113765667,0,0.0,0.22018312001170376,0,0.0,0.9315760294783172,2,12.0
30.0,3,27.0,3.375,6.788499080919413,2,22.0,0.3333333333333333,0,0.0,1.0,1,5.0,9.154875835422835e-06,0,0.0,0.8439578800208699,3,27.0
35.0,3,42.0,4.2,7.9918749870222765,2,32.0,0.31215641182560955,0,0.0,1.0,1,10.0,0.645862497296075,0,0.0,0.7860554467407016,3,42.0
40.0,3,57.0,5.7,7.583529509178338,2,42.0,0.31307587091503575,0,0.0,1.0,1,15.0,0.6096169182911358,0,0.0,1.0,3,57.0
45.0,5,76.0,6.333333333333333,5.412989255766654,3,54.0,0.000765031631485744,0,0.0,0.8198534873957833,2,22.0,0.09329377215085168,0,0.0,1.0,5,76.0
50.0,5,98.0,7.0,6.740781742009263,2,62.0,0.0,0,0.0,0.8902147864525186,3,36.0,4.073167043625419e-05,0,0.0,1.0,5,98.0
55.0,5,123.0,7.235294117647059,8.832460083050618,2,72.0,0.4929789333825038,0,0.0,0.8565741655880427,3,53.0,0.3835611416717542,0,0.0,1.0,5,125.0
60.0,5,148.0,7.7894736842105265,9.651391635513964,2,82.0,0.5795317748550993,0,0.0,0.924913660716477,3,68.0,0.5608503302764353,0,0.0,0.8963638611458449,5,150.0
65.0,6,174.0,8.285714285714286,8.161312955316621,2,92.0,0.3910195190075588,0,0.0,0.9077691315193717,4,82.0,0.39487519109428804,0,0.0,0.9041738368155874,6,174.0
70.0,9,211.0,9.590909090909092,6.877768323573712,3,105.0,0.38347376748173173,0,0.0,1.0,6,106.0,0.13082133588033842,0,0.0,0.8787903628565878,9,211.0
75.0,10,261.0,9.666666666666666,7.678051523655283,3,120.0,0.4037319776833028,0,0.0,0.841745869487649,7,141.0,0.22020263094875694,0,0.0,0.9358889438643855,10,261.0
80.0,11,316.0,11.703703703703704,6.741452385009417,4,140.0,0.3400263770811175,0,0.0,0.8255602743452235,7,176.0,0.17601910624000813,0,0.0,1.0,11,316.0
85.0,12,374.0,14.96,5.203884229397098,4,160.0,0.16193828140093017,0,0.0,0.808182823746477,8,214.0,0.107982377867409,0,0.0,1.0,12,374.0
