step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.695529888561426,0,0.0,0.956206919662385,0,0.0,0.9502945667154324,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9460202271499785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9515558634550545,0,0.0,0.9535612060738203,0,0.0,0.9542381048590658,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9548771910100422,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.051901316496545,0,0.0,0.9095225822400318,0,0.0,0.9626887040444203,0,0.0,1.0,0,0.0,1.0,0,0.0,0.962370567551189,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9650535380719716,0,0.0,0.9655730897128075,0,0.0,0.9654119626084369,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9057615527010239,0,0.0,1.0,0,0.0
15.0,4,8.0,0.2,10.801621571098575,1,2.0,0.7735932085610037,0,0.0,0.9613387707514356,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7191326284977286,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9631538721097952,0,0.0,0.9611318522620023,1,2.0,0.7077117636834566,0,0.0,0.9833408828058455,0,0.0,0.9919682360213528,0,0.0,0.9202523414904962,1,2.0,0.545446161546413,0,0.0,1.0,4,8.0
20.0,2,11.0,0.19642857142857142,11.025041767228265,2,11.0,0.7182075829973923,0,0.0,0.9698131542947397,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8153255755267426,0,2.0,0.5611531353363222,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9410945275530103,0,0.0,0.9852327291947853,0,0.0,0.8136493166950406,0,3.0,0.7175553014177919,0,0.0,0.9538340885939013,0,0.0,0.9536285965715466,0,0.0,0.7047681866553612,0,3.0,0.426552366368415,2,19.0
25.0,6,26.0,0.3611111111111111,11.702653819522318,4,24.0,0.6284259652897431,0,0.0,0.9589893153073487,0,0.0,0.9847503779030565,0,0.0,0.961690429512233,0,0.0,0.9422971172753084,0,2.0,0.9216627347044245,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9526506252471059,0,0.0,0.9594931322893239,2,2.0,0.726655642365901,0,3.0,0.8686669384834648,0,0.0,0.9773395785205001,0,0.0,0.9549582773169422,0,0.0,0.9772689811726627,0,3.0,0.9121266530974237,6,34.0
30.0,12,62.0,0.775,10.552118001033003,7,51.0,0.47670792868438683,0,0.0,0.9701739009939087,0,0.0,0.9728670963956179,0,0.0,0.952575997768081,1,2.0,0.695051920155661,0,2.0,0.9517312747944306,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9298269350726471,0,0.0,0.9599335327979079,1,1.0,0.7344133845499035,2,8.0,0.7803778970398549,0,0.0,0.9547835316208886,0,0.0,0.9858424722156581,1,4.0,0.6242952168710773,0,3.0,0.869572518154049,12,71.0
35.0,21,129.0,1.34375,8.347981068048508,8,87.0,0.44832007051529227,0,0.0,0.9780750994371411,0,0.0,0.9845244426839957,0,0.0,0.9173163430453722,2,11.0,0.47396173973733086,2,5.0,0.059757313670168045,0,0.0,0.9243850596396815,0,0.0,0.9965658097455562,0,0.0,0.9798352427099695,0,0.0,0.9642541899383419,2,10.0,0.6855797460911345,1,5.0,0.4193780371910009,0,0.0,0.9112175578603748,0,0.0,0.9538756429846513,3,14.0,0.5863694258840308,3,10.0,0.10861891081871915,21,142.0
40.0,38,289.0,2.580357142857143,8.308231615598235,10,131.0,0.38551017609992116,0,0.0,0.9916260710475637,0,0.0,0.902311219628227,0,0.0,0.9752273494092603,4,30.0,0.4257303469307742,5,23.0,0.0003492929887529228,0,0.0,0.9438484693471414,0,0.0,0.917506214418183,0,0.0,0.9533662819964149,0,0.0,0.9662724776650888,5,29.0,0.5581450407735038,4,22.0,0.45391534042574444,0,0.0,0.8136533506353505,0,0.0,0.9354477017803432,5,34.0,0.6183044429644238,5,35.0,0.44577829777280875,38,304.0
45.0,40,363.0,3.025,7.799944669518174,6,120.0,0.39117028709198565,0,2.0,0.8167857823019747,0,0.0,0.8643007815966928,0,0.0,0.9635386883018748,7,58.0,0.4129054940557714,5,48.0,0.0,0,0.0,0.9724687587886365,0,0.0,0.9631640251663357,0,0.0,0.9631653124435671,0,0.0,0.9484378549396494,6,57.0,0.45983633645541294,4,42.0,0.4778828791176849,1,3.0,0.7285105040770677,0,0.0,0.9176840738387556,6,58.0,0.4498594291021732,5,60.0,0.5905374862808082,40,448.0
50.0,34,431.0,3.1691176470588234,8.181693264067789,0,56.0,0.45938180461777994,0,4.0,0.9164839133305331,0,0.0,0.8713896526249473,0,0.0,0.947527881076851,8,95.0,0.41617219103105413,0,33.0,0.5929962489638698,0,2.0,0.8405690922329276,0,0.0,0.9406250222931222,0,0.0,0.9665848624478102,0,0.0,0.9259395251241493,8,94.0,0.2942963392585448,4,62.0,0.4157280155419461,1,8.0,0.7637127873259716,0,0.0,0.9379135737282811,8,96.0,0.4106027023113652,5,81.0,0.4946332493411784,34,531.0
