step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,4.454069138038904,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,6.459147605981616,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,8.972062021162019,0,0.0,0.9867262930790446,0,0.0,0.7153342857788721,0,0.0
20.0,1,3.0,0.375,8.197193357119705,0,0.0,0.6007676521795043,1,3.0,0.3981629696355476,1,3.0
25.0,1,3.0,0.3,5.927473494773974,1,3.0,0.623707304465754,0,0.0,0.2097125204689356,1,3.0
30.0,4,16.0,1.6,7.391203344746036,2,12.0,0.57252526353919,2,7.0,0.44774368090639105,4,19.0
35.0,3,26.0,2.3636363636363638,5.554244829916695,2,22.0,0.16161002494676951,1,7.0,0.478737931953562,3,29.0
40.0,4,27.0,2.25,6.2360761453189495,2,18.0,0.3320253383151361,1,12.0,0.47003662889053205,3,30.0
45.0,3,42.0,2.8,7.732427382140648,2,28.0,0.3054162739822267,1,17.0,0.04066268888883006,3,45.0
50.0,2,26.0,1.7333333333333334,7.374733236008357,0,5.0,0.5204723487042308,2,26.0,0.3190617223420252,2,31.0
55.0,4,38.0,2.7142857142857144,5.420786993155843,1,2.0,0.2574021009575275,2,36.0,0.0627668883774072,3,38.0
60.0,5,48.0,2.6666666666666665,6.169506002683793,2,11.0,0.4592997886974766,2,37.0,0.31741653309337386,4,48.0
65.0,3,51.0,2.6842105263157894,7.043009476862932,1,15.0,0.4019701808548536,2,47.0,0.2642047047156053,3,62.0
70.0,2,9.0,0.45,6.735040295411755,1,8.0,0.2715615663256233,1,21.0,0.3955244500330123,2,29.0
75.0,7,31.0,1.7222222222222223,6.610616157927572,2,15.0,0.4110809672994149,4,19.0,0.4250925705464882,6,34.0
80.0,10,68.0,3.4,4.767790841398754,4,31.0,0.0007403975128358714,5,40.0,0.10252944527983937,9,71.0
85.0,9,94.0,4.7,6.095208229741572,4,51.0,0.17921194120721834,4,46.0,0.1857085243531402,8,97.0
90.0,9,135.0,7.5,5.106073914535511,5,75.0,0.15948686863593517,4,66.0,0.2598192759566371,9,141.0
95.0,7,142.0,7.473684210526316,6.599436125573526,5,100.0,0.2565545422662455,2,48.0,0.46599070759081707,7,148.0
100.0,10,177.0,8.428571428571429,4.454301406092302,5,122.0,0.014169467614906348,2,58.0,0.38870227475548225,7,180.0
105.0,10,158.0,6.869565217391305,4.589935370492797,6,151.0,0.0,3,42.0,0.01605900180822018,9,193.0
