step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,4.158659086038824,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.2771497327136005,0,0.0,1.0,0,0.0,0.8501081066299806,0,0.0
15.0,1,1.0,0.16666666666666666,5.5336936601227515,0,0.0,0.5239466369988872,1,1.0,0.002311205123265181,1,1.0
20.0,0,0.0,0.0,8.65840772721616,0,0.0,0.9251595308919143,0,0.0,0.9691725824760908,0,0.0
25.0,0,0.0,0.0,8.790694215032511,0,3.0,0.8216306813654493,0,0.0,0.69788040339047,0,3.0
30.0,2,2.0,0.15384615384615385,9.301862202418702,0,3.0,0.9476128321667862,2,2.0,0.27737516666642364,2,5.0
35.0,2,12.0,0.8571428571428571,6.730062110356599,0,0.0,0.47012274641793605,2,12.0,0.21866244714892785,2,12.0
40.0,7,38.0,2.923076923076923,5.217724667200623,2,6.0,0.23792597270020224,5,32.0,0.0003414715575708535,7,38.0
45.0,4,26.0,2.0,3.9571551575753405,1,1.0,0.218868764623664,3,25.0,0.16207083649842494,4,26.0
50.0,4,46.0,3.5384615384615383,8.105057817321738,1,6.0,0.4766134854723739,3,43.0,0.3915843343634193,4,49.0
55.0,3,30.0,2.5,6.297731051202336,2,12.0,0.29837700545896834,1,37.0,0.26295456588124927,3,49.0
60.0,5,51.0,3.923076923076923,5.553403172738526,2,25.0,0.2918463985234858,3,32.0,0.27290202436466765,5,57.0
65.0,5,55.0,3.235294117647059,6.760619556735532,1,11.0,0.6466742010085893,3,47.0,0.4386812913086331,4,58.0
70.0,4,62.0,3.263157894736842,6.815341170581606,1,16.0,0.5242835984192779,3,49.0,0.24938685573455524,4,65.0
75.0,5,66.0,3.142857142857143,6.518421008075948,0,0.0,0.5400857672853234,4,69.0,0.3424017481076672,4,69.0
80.0,6,71.0,2.730769230769231,6.392150695448977,2,5.0,0.4711139224101415,3,70.0,0.20698319610328966,5,75.0
85.0,5,89.0,3.56,8.630961959689811,2,8.0,0.000663593227184355,3,84.0,0.3780142305640612,5,92.0
90.0,5,114.0,4.56,8.170549734751951,2,18.0,0.49505293705837783,3,99.0,0.4369614154592354,5,117.0
