step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,6.1519084656611085,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.623826467166127,0,0.0,0.6465574239630413,0,0.0,1.0,0,0.0
15.0,2,3.0,0.42857142857142855,6.747475828829223,1,3.0,0.5710258913535141,0,0.0,0.9849250421847814,1,3.0
20.0,3,10.0,1.1111111111111112,5.580654129037832,2,10.0,0.1166945039506897,0,0.0,1.0,2,10.0
25.0,4,22.0,2.0,5.373136736359259,3,22.0,0.2439425062303425,0,0.0,0.5299269208478743,3,22.0
30.0,5,43.0,3.3076923076923075,4.731495018221779,3,37.0,0.014641361744678637,2,6.0,0.00035007769017454936,5,43.0
35.0,6,73.0,5.615384615384615,5.4783965131130214,4,57.0,0.19601113028388922,2,16.0,0.0,6,73.0
40.0,7,104.0,8.0,4.505754714627945,5,78.0,0.22114323517431977,2,26.0,0.31365048706058934,7,104.0
45.0,10,149.0,12.416666666666666,1.5427321772676799,7,111.0,6.577777259779477e-06,3,38.0,0.10695730787973262,10,149.0
50.0,10,192.0,12.8,1.9524615595292725,6,135.0,0.0,4,57.0,7.542119428504719e-05,10,192.0
55.0,10,242.0,15.125,3.6522436661698148,6,165.0,0.14039357506463568,4,80.0,0.30513426636223034,10,245.0
60.0,10,292.0,16.22222222222222,3.3342696621232175,6,195.0,0.11180387425962099,4,100.0,0.288389624562541,10,295.0
65.0,11,310.0,16.31578947368421,4.336671346711517,7,229.0,0.11848437290781665,4,84.0,0.3193266521684026,11,313.0
70.0,12,366.0,18.3,3.6794288736960246,7,267.0,0.204369633446003,5,105.0,0.10217161321656291,12,372.0
75.0,14,427.0,21.35,2.1767977329019876,7,302.0,0.10344667454951936,6,131.0,6.598492224773685e-05,13,433.0
80.0,15,498.0,23.714285714285715,3.4265696074240024,9,343.0,1.8441532906492057e-06,6,161.0,0.1413538358567367,15,504.0
85.0,15,573.0,30.157894736842106,1.7481364625876314,9,388.0,0.0,6,191.0,0.0013639274267589266,15,579.0
90.0,16,653.0,32.65,1.5377106004943448,9,433.0,0.062408922958984835,7,226.0,0.10395004759198191,16,659.0
95.0,17,735.0,35.0,1.0779331361533402,10,480.0,2.2070284768147845e-06,7,261.0,0.12407583725104433,17,741.0
100.0,20,828.0,37.63636363636363,0.790148676599583,10,530.0,0.048837039987859106,8,299.0,1.2898904692016211e-06,18,829.0
105.0,19,923.0,35.5,2.116255260837846,10,580.0,0.1579889314309233,8,339.0,0.0,18,919.0
110.0,21,1020.0,34.0,2.563184919511402,10,630.0,0.021003646865001075,8,379.0,0.109522230517542,18,1009.0
115.0,23,1124.0,35.125,3.0685075238490818,11,684.0,0.07947541190680725,8,419.0,0.1862154486439197,19,1103.0
120.0,21,1229.0,37.24242424242424,2.8840936682182132,11,739.0,0.07938992367080437,8,459.0,0.00434707696845033,19,1198.0
125.0,23,1344.0,39.529411764705884,2.9415413598888325,11,794.0,0.13022581457224386,10,509.0,0.08416321689623701,21,1303.0
130.0,27,1470.0,44.54545454545455,1.7830035973114793,13,857.0,0.040084427739981096,11,562.0,0.14640760760826652,24,1419.0
135.0,26,1600.0,45.714285714285715,2.1155553835731324,13,922.0,0.06772103063001496,11,617.0,0.11355213871273757,24,1539.0
140.0,28,1735.0,44.48717948717949,2.055752407467513,13,987.0,0.06501127665552017,12,677.0,0.09278948298705869,25,1664.0
145.0,30,1879.0,48.17948717948718,1.876856775144382,14,1057.0,0.07738130532078802,14,741.0,0.05733797500820787,28,1798.0
150.0,29,1880.0,44.76190476190476,2.12899186667563,9,996.0,0.1324188874765709,15,812.0,9.214513692984471e-05,24,1808.0
155.0,28,2020.0,46.97674418604651,3.5704930419762486,9,1018.0,0.09424936519945834,15,893.0,0.15294377060485415,24,1911.0
160.0,29,2160.0,48.0,3.582777093030737,9,1063.0,0.18703619688691944,15,968.0,0.17069782915719875,24,2031.0
165.0,28,1876.0,42.63636363636363,2.5858091351114947,10,1111.0,0.0008242681610256112,14,821.0,0.044014468195389594,24,1932.0
170.0,26,1811.0,40.24444444444445,3.5654412218435696,11,1166.0,0.13622783007239805,11,506.0,0.13722121565374854,22,1672.0
175.0,27,1933.0,41.12765957446808,3.9751008685841933,11,1221.0,0.1034440433957632,12,553.0,0.12626491253593466,23,1774.0
180.0,30,2081.0,49.54761904761905,2.7579893592237563,12,1281.0,0.15461853506322307,13,618.0,0.12202194724018812,25,1899.0
185.0,32,2235.0,54.51219512195122,2.446972707613144,13,1342.0,0.1187012559349163,14,686.0,0.06368298290810426,27,2028.0
190.0,34,2397.0,57.07142857142857,1.7888238264537324,15,1409.0,0.0004611088034761638,14,756.0,0.06217388471156697,29,2165.0
195.0,34,2567.0,61.11904761904762,1.6150152348766607,15,1484.0,0.0,14,826.0,0.10150434305150376,29,2310.0
200.0,36,2745.0,68.625,1.0992894378747167,15,1559.0,0.0,15,901.0,0.06084290312271743,30,2460.0
205.0,36,2925.0,73.125,1.3444234042983223,15,1634.0,0.06013109036433994,15,976.0,0.0,30,2610.0
