step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.530821692596898,0,0.0,0.916063371096616,0,0.0
10.0,0,0.0,0.0,12.604818126960248,0,0.0,0.9272671226745378,0,0.0
15.0,0,0.0,0.0,10.552863847792741,0,0.0,0.7459953200136437,0,0.0
20.0,1,4.0,0.8,7.012066172150199,1,4.0,0.38797455487495236,1,4.0
25.0,3,14.0,1.4,9.364918900062928,3,14.0,0.6151755741129376,3,14.0
30.0,4,31.0,2.5833333333333335,8.462766418648375,4,31.0,0.5535204098908815,4,31.0
35.0,5,55.0,4.230769230769231,7.190776260400416,5,55.0,0.4122565087363229,5,55.0
40.0,8,88.0,4.888888888888889,6.716957446418004,8,88.0,0.40096677224064836,8,88.0
45.0,4,20.0,1.0526315789473684,6.855858040462754,4,74.0,0.5056004707104237,4,74.0
50.0,0,0.0,0.0,8.836937382211781,0,22.0,0.5739376364711234,0,22.0
55.0,3,6.0,0.2727272727272727,7.121087450066116,3,28.0,0.36016589757935247,3,28.0
60.0,8,37.0,1.6818181818181819,7.165702795488766,8,59.0,0.39282934845137546,8,59.0
65.0,3,18.0,0.75,7.2632722369944425,3,58.0,0.4447376649434538,3,58.0
70.0,0,0.0,0.0,9.549522317708345,0,22.0,0.5803031516434187,0,22.0
75.0,4,9.0,0.34615384615384615,7.611306834589116,4,31.0,0.37559390977264495,4,31.0
80.0,9,44.0,1.9130434782608696,5.044782037423494,9,66.0,0.1704681264225329,9,66.0
85.0,8,41.0,1.7826086956521738,4.951352195766035,8,84.0,0.21713778197464906,8,84.0
90.0,0,0.0,0.0,7.173998579404601,0,62.0,0.406940953599281,0,62.0
95.0,1,3.0,0.12,9.006109009198305,1,23.0,0.499299366228207,1,23.0
100.0,1,8.0,0.3076923076923077,10.914830679664975,1,8.0,0.7622533230463066,1,8.0
105.0,3,3.0,0.125,8.953214457764602,3,3.0,0.5599915174176755,3,3.0
110.0,6,28.0,1.2727272727272727,8.623741230465923,6,28.0,0.5122171979053365,6,28.0
115.0,3,9.0,0.47368421052631576,7.4749937959864425,3,39.0,0.47046419005868906,3,39.0
120.0,2,2.0,0.09523809523809523,8.297904668446957,2,12.0,0.5063771180712916,2,12.0
125.0,2,4.0,0.16,8.938661240178003,2,11.0,0.588372357293314,2,11.0
130.0,7,29.0,1.0740740740740742,8.408269056168152,7,35.0,0.4539532483899032,7,35.0
135.0,11,74.0,3.217391304347826,4.556811092325267,11,80.0,0.20399632136446597,11,80.0
140.0,9,57.0,2.590909090909091,4.441301086603198,9,107.0,0.27012197598767895,9,107.0
145.0,2,4.0,0.16,7.042814233439698,2,81.0,0.39264874923867743,2,81.0
150.0,3,7.0,0.25,8.17211176995822,3,77.0,0.4835231317576322,3,77.0
155.0,9,39.0,1.3,6.911853584743908,9,109.0,0.3521654521336483,9,109.0
160.0,16,104.0,3.466666666666667,4.139187297036733,16,174.0,0.22578010763707237,16,174.0
165.0,15,105.0,3.3870967741935485,3.2142343508585856,15,208.0,0.2298531091337312,15,208.0
170.0,12,61.0,1.7941176470588236,4.0806857099378435,12,191.0,0.19007476714196378,12,191.0
175.0,7,33.0,0.868421052631579,6.473732215586592,7,148.0,0.28631311661200615,7,148.0
180.0,3,32.0,0.8421052631578947,7.603171220201263,3,129.0,0.392983801685359,3,129.0
185.0,4,52.0,1.368421052631579,8.17907714729968,4,95.0,0.4764842903579808,4,95.0
190.0,3,4.0,0.10526315789473684,7.864533841406241,3,69.0,0.47779679922264096,3,69.0
