step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.31527622639142,0,0.0,0.9606230711546284,0,0.0
10.0,0,0.0,0.0,13.064836928184027,0,0.0,0.9526873921264941,0,0.0
15.0,0,0.0,0.0,10.284984548028799,0,0.0,0.726584105603655,0,0.0
20.0,3,8.0,0.6153846153846154,8.944036585731558,3,8.0,0.5701606854091638,3,8.0
25.0,6,32.0,1.7777777777777777,7.334187698022021,6,32.0,0.46904621008738084,6,32.0
30.0,4,14.0,0.7,4.624396161162357,4,43.0,0.31464940912938383,4,43.0
35.0,1,4.0,0.16666666666666666,7.116310358095675,1,23.0,0.42498669622535146,1,23.0
40.0,1,9.0,0.3333333333333333,9.477367776882595,1,9.0,0.5515961884052379,1,9.0
45.0,2,3.0,0.10714285714285714,8.547300311906946,2,3.0,0.5072492976611914,2,3.0
50.0,8,31.0,1.1071428571428572,7.579749785921186,8,31.0,0.41206371907404343,8,31.0
55.0,6,29.0,1.0740740740740742,5.704039972352616,6,59.0,0.33229889457159706,6,59.0
60.0,3,7.0,0.2692307692307692,6.810249922070131,3,46.0,0.356547029723621,3,46.0
65.0,6,28.0,0.9333333333333333,9.278607883282016,6,39.0,0.5012579495763905,6,39.0
70.0,6,58.0,1.8709677419354838,9.671703622707943,6,58.0,0.5502838556402421,6,58.0
75.0,8,92.0,2.875,9.505249811977443,8,92.0,0.5515444885405032,8,92.0
80.0,3,16.0,0.5333333333333333,8.577025867017865,3,83.0,0.5249350993876238,3,83.0
85.0,2,3.0,0.10344827586206896,9.3304261412597,2,15.0,0.5932492583024637,2,15.0
90.0,5,22.0,0.7586206896551724,9.455118395847471,5,22.0,0.5106175838216103,5,22.0
95.0,9,55.0,1.8333333333333333,7.193367780643672,9,55.0,0.3262975120027259,9,55.0
100.0,8,37.0,1.1935483870967742,7.370264282710064,8,78.0,0.4604677531628423,8,78.0
105.0,1,2.0,0.06451612903225806,7.78180094147235,1,45.0,0.4806837998505923,1,45.0
110.0,4,14.0,0.4375,8.089662158666485,4,26.0,0.44816565960108984,4,26.0
115.0,6,37.0,1.15625,8.701076790212493,6,37.0,0.48132899427048204,6,37.0
120.0,7,71.0,2.2903225806451615,8.658678328800617,7,71.0,0.46214496421956086,7,71.0
125.0,8,110.0,4.074074074074074,8.459215401554136,8,110.0,0.40298820682240516,8,110.0
130.0,3,24.0,0.96,7.839367776812463,3,95.0,0.43434466382856624,3,95.0
135.0,3,15.0,0.625,9.9108019735719,3,38.0,0.6141327709079365,3,38.0
140.0,6,37.0,1.5416666666666667,8.73353133292498,6,37.0,0.4455178986720169,6,37.0
145.0,10,78.0,3.12,7.2177588766650755,10,78.0,0.4217340277609316,10,78.0
150.0,7,39.0,1.6956521739130435,4.589155187514701,7,89.0,0.2751410609938182,7,89.0
155.0,2,6.0,0.23076923076923078,7.159295045107577,2,58.0,0.3691404343535943,2,58.0
160.0,1,10.0,0.35714285714285715,9.584654031948485,1,20.0,0.5153895197276261,1,20.0
165.0,1,15.0,0.5172413793103449,10.946212310913923,1,16.0,0.6872688462353771,1,16.0
170.0,1,2.0,0.07407407407407407,9.348644144098305,1,3.0,0.5469089431998243,1,3.0
175.0,6,22.0,0.8461538461538461,8.191682711451714,6,23.0,0.40928425967239995,6,23.0
180.0,11,67.0,2.4814814814814814,6.089974313865052,11,68.0,0.32739108064868216,11,68.0
185.0,10,56.0,2.1538461538461537,4.317143914884851,10,100.0,0.2776341142736857,10,100.0
190.0,5,14.0,0.4827586206896552,5.666173807065177,5,90.0,0.29023929975980517,5,90.0
195.0,4,7.0,0.20588235294117646,5.316795689361717,4,105.0,0.26198609519338667,4,105.0
200.0,10,43.0,1.2285714285714286,4.104338515169532,10,141.0,0.1928100963175622,10,141.0
205.0,16,112.0,3.111111111111111,3.2548227390282034,16,210.0,0.1523752639483895,16,210.0
210.0,17,115.0,3.2857142857142856,2.1680497629481836,17,248.0,0.12129234945114431,17,248.0
215.0,13,70.0,1.794871794871795,3.766723573231188,13,234.0,0.16212268976028724,13,234.0
220.0,14,66.0,1.5714285714285714,5.148059285202253,14,219.0,0.1764566702830986,14,219.0
225.0,7,29.0,0.7631578947368421,5.016928746339027,7,235.0,0.24171175789970614,7,235.0
230.0,7,24.0,0.6666666666666666,5.250411393882981,7,257.0,0.2797615137296104,7,257.0
235.0,13,74.0,1.9473684210526316,3.9815233675305435,13,307.0,0.20974374229502776,13,307.0
240.0,12,69.0,1.7692307692307692,2.783640982385997,12,317.0,0.1633327735788861,12,317.0
245.0,13,46.0,1.1219512195121952,3.203226433043075,13,289.0,0.11625995576035443,13,289.0
250.0,13,59.0,1.4047619047619047,4.9230067351867115,13,246.0,0.14381075646311844,13,246.0
255.0,7,24.0,0.6,5.3849075221910425,7,274.0,0.24063873755082027,7,274.0
