step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.892852958120068,0,0.0,0.9481399240637749,0,0.0
10.0,0,0.0,0.0,12.795899777144657,0,0.0,0.9524792997499324,0,0.0
15.0,0,0.0,0.0,10.242199320271528,0,0.0,0.7311819097317613,0,0.0
20.0,4,11.0,0.6470588235294118,6.694581134096473,4,11.0,0.40006357812952265,4,11.0
25.0,3,5.0,0.23809523809523808,5.881084698249992,3,22.0,0.3647094584080464,3,22.0
30.0,0,0.0,0.0,7.562390582858572,0,9.0,0.3895650377134866,0,9.0
35.0,3,8.0,0.3333333333333333,6.562998062915354,3,17.0,0.28952258979534046,3,17.0
40.0,9,44.0,1.8333333333333333,4.383572132086534,9,53.0,0.22260525082846114,9,53.0
45.0,9,41.0,1.5769230769230769,5.502657647599199,9,81.0,0.37342937804505383,9,81.0
50.0,3,5.0,0.16129032258064516,7.047222792788922,3,67.0,0.42108658797802484,3,67.0
55.0,1,1.0,0.02857142857142857,7.138276231457272,1,51.0,0.3773697782434538,1,51.0
60.0,6,19.0,0.5277777777777778,6.418882411016264,6,69.0,0.2916654176239842,6,69.0
65.0,12,67.0,1.9142857142857144,4.397384847253488,12,117.0,0.18600093473933543,12,117.0
70.0,17,142.0,4.176470588235294,2.7672101810827363,17,192.0,0.09108637321477028,17,192.0
75.0,25,249.0,6.916666666666667,2.269293103644158,25,299.0,0.11754344699344997,25,299.0
80.0,30,387.0,10.45945945945946,1.6331821124705752,30,437.0,0.0670524929629187,30,437.0
85.0,33,549.0,13.725,1.7326788716452626,33,599.0,0.08443060354350058,33,599.0
90.0,30,521.0,12.707317073170731,1.7096683654372247,30,680.0,0.06449201718215442,30,680.0
95.0,23,368.0,8.761904761904763,3.5145359917769436,23,630.0,0.1301524204883916,23,630.0
100.0,15,251.0,5.976190476190476,4.701440840735134,15,682.0,0.17087426724279517,15,682.0
105.0,13,109.0,2.658536585365854,4.804894253518256,13,747.0,0.2183695091380622,13,747.0
110.0,14,82.0,2.1578947368421053,4.035546841101924,14,810.0,0.20562601023760246,14,810.0
115.0,18,164.0,4.205128205128205,2.5032251755011097,18,893.0,0.08646587191703713,18,893.0
120.0,26,279.0,6.804878048780488,1.9117083308353349,26,1008.0,0.04353387668420192,26,1008.0
125.0,32,429.0,10.725,0.7131705729497365,32,1158.0,0.02781511582405378,32,1158.0
130.0,38,610.0,15.64102564102564,0.34090741936599545,38,1340.0,0.00026739360132904075,38,1340.0
135.0,38,800.0,19.047619047619047,1.203362697851038,38,1530.0,0.07046768333328299,38,1530.0
140.0,32,757.0,17.6046511627907,1.9620349980923657,32,1570.0,0.10971058995850413,32,1570.0
145.0,22,540.0,12.0,3.823645215821681,22,1441.0,0.19546215030789907,22,1441.0
150.0,18,384.0,8.347826086956522,3.8072700510248354,18,1537.0,0.1731911309573091,18,1537.0
155.0,15,187.0,4.065217391304348,4.681214854437231,15,1616.0,0.1940726916581291,15,1616.0
160.0,16,114.0,2.590909090909091,4.1837018062298945,16,1693.0,0.17423936283139382,16,1693.0
165.0,22,213.0,4.531914893617022,3.717535635473568,22,1792.0,0.15954873540833783,22,1792.0
170.0,29,350.0,8.13953488372093,2.205872679694204,29,1929.0,0.09954091236805646,29,1929.0
