step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.65960196809412,0,0.0,0.9555488119070635,0,0.0
10.0,0,0.0,0.0,12.94048084498158,0,0.0,0.9562760184461777,0,0.0
15.0,0,0.0,0.0,9.557630077312325,0,0.0,0.7181894863147102,0,0.0
20.0,6,19.0,1.0555555555555556,6.4544529637702155,6,19.0,0.4795194226824153,6,19.0
25.0,11,62.0,2.9523809523809526,5.100278722497863,11,62.0,0.2731515468997541,11,62.0
30.0,8,47.0,1.88,5.925609195922153,8,90.0,0.3118937256494026,8,90.0
35.0,0,0.0,0.0,7.956575281313883,0,63.0,0.46333780015396986,0,63.0
40.0,3,8.0,0.26666666666666666,6.899120950488942,3,71.0,0.3651268861466886,3,71.0
45.0,10,44.0,1.5172413793103448,4.934271377846521,10,107.0,0.19118911412924383,10,107.0
50.0,16,111.0,3.9642857142857144,2.744753540360427,16,176.0,0.09910821610402194,16,176.0
55.0,23,212.0,7.066666666666666,2.277306018771354,23,277.0,0.14298662893151326,23,277.0
60.0,25,335.0,10.151515151515152,2.0064098499738967,25,400.0,0.12074056174834547,25,400.0
65.0,29,472.0,12.421052631578947,1.9913060408117667,29,537.0,0.12096466758629627,29,537.0
70.0,32,629.0,14.295454545454545,2.0871723701414813,32,694.0,0.14003346767067615,32,694.0
75.0,38,812.0,17.27659574468085,2.443345767565957,38,877.0,0.13238174190488927,38,877.0
80.0,38,1002.0,21.319148936170212,2.4606819104461612,38,1067.0,0.11073223297678436,38,1067.0
85.0,38,1192.0,26.488888888888887,1.9103300993965942,38,1257.0,0.04656022133787803,38,1257.0
90.0,38,1382.0,30.711111111111112,2.01147710218491,38,1447.0,0.049175123965211065,38,1447.0
95.0,38,1572.0,35.72727272727273,1.7352339561847734,38,1637.0,0.04703217361456128,38,1637.0
100.0,32,1395.0,32.44186046511628,1.9408581409052001,32,1677.0,0.06476652695674627,32,1677.0
105.0,22,961.0,24.025,2.7253873064538356,22,1542.0,0.08661364753185835,22,1542.0
110.0,17,615.0,14.642857142857142,3.8479327859778145,17,1572.0,0.14954347176767657,17,1572.0
115.0,12,251.0,6.275,3.6485888723794404,12,1642.0,0.17079002140376323,12,1642.0
120.0,14,92.0,2.4864864864864864,2.989457916905374,14,1705.0,0.18970761272570746,14,1705.0
125.0,17,99.0,2.5384615384615383,2.029640676901105,17,1642.0,0.1353263720168025,17,1642.0
130.0,15,74.0,1.8048780487804879,3.203838791738564,15,1437.0,0.12074247917100898,15,1437.0
135.0,13,52.0,1.2093023255813953,3.6548623683601216,13,1425.0,0.11590583071657247,13,1425.0
140.0,12,54.0,1.35,3.8357515225374392,12,1483.0,0.12511997698406477,12,1483.0
145.0,14,85.0,2.2972972972972974,2.988447290893383,14,1546.0,0.12200124494530372,14,1546.0
150.0,22,178.0,4.564102564102564,1.6574460276319205,22,1639.0,0.11357659223984214,22,1639.0
155.0,27,300.0,7.317073170731708,1.7506001198438323,27,1763.0,0.11338965683478848,27,1763.0
160.0,34,454.0,10.55813953488372,1.4689327945680104,34,1918.0,0.07065951699714411,34,1918.0
165.0,38,638.0,14.5,1.6124640100004575,38,2103.0,0.04855802072721642,38,2103.0
170.0,32,623.0,13.844444444444445,2.3683716380235684,32,2082.0,0.08969538866070113,32,2082.0
175.0,22,453.0,10.785714285714286,3.4987167262921437,22,1825.0,0.14058535570024702,22,1825.0
180.0,14,288.0,7.024390243902439,4.887458377961929,14,1350.0,0.1427040143149784,14,1350.0
185.0,8,125.0,3.289473684210526,4.6915243245844405,8,1393.0,0.18203068465943073,8,1393.0
190.0,8,36.0,1.0588235294117647,4.9497916014571715,8,1430.0,0.2499285844845578,8,1430.0
195.0,8,33.0,0.8918918918918919,4.489275720799545,8,1287.0,0.25099382012511995,8,1287.0
200.0,7,16.0,0.45714285714285713,4.377337006893613,7,866.0,0.18046839304073822,7,866.0
205.0,6,21.0,0.5384615384615384,5.730076237988966,6,516.0,0.2078321462043807,6,516.0
210.0,2,5.0,0.13157894736842105,5.278724582252038,2,516.0,0.22949017010142345,2,516.0
215.0,8,35.0,1.0606060606060606,4.787013059466522,8,545.0,0.24318344370175154,8,545.0
220.0,14,91.0,2.6,3.529195835661232,14,603.0,0.1605424481100773,14,603.0
225.0,20,177.0,4.783783783783784,1.8575455731108816,20,690.0,0.08153193826867722,20,690.0
230.0,27,301.0,7.717948717948718,1.2151090358237437,27,814.0,0.06436540549937912,27,814.0
235.0,33,457.0,10.880952380952381,1.231391363819305,33,970.0,0.04813484858294196,33,970.0
240.0,38,641.0,15.634146341463415,0.9565748931097898,38,1154.0,0.02449596447126868,38,1154.0
245.0,38,831.0,20.26829268292683,0.9622219684352605,38,1344.0,0.025501661790418212,38,1344.0
250.0,32,780.0,18.571428571428573,1.7868933462414665,32,1323.0,0.08904194115549699,32,1323.0
255.0,22,563.0,13.093023255813954,3.8804316784876365,22,1158.0,0.16816470940692957,22,1158.0
260.0,16,390.0,8.863636363636363,4.259644129645297,16,1176.0,0.1775433480735408,16,1176.0
265.0,12,176.0,4.2926829268292686,4.212673736473377,12,1247.0,0.1967233829787577,12,1247.0
270.0,8,31.0,0.775,4.092096795209099,8,1150.0,0.21287692810753686,8,1150.0
275.0,8,23.0,0.5609756097560976,3.982942144832791,8,909.0,0.17266347497732532,8,909.0
280.0,5,11.0,0.2558139534883721,4.476937930956605,5,888.0,0.18809010743140067,5,888.0
285.0,10,35.0,0.813953488372093,4.647850760858529,10,916.0,0.1988372009349872,10,916.0
290.0,14,93.0,2.325,4.001537254424759,14,977.0,0.14516430016267243,14,977.0
295.0,21,189.0,4.725,2.435847511106414,21,1074.0,0.113664124064369,21,1074.0
300.0,21,193.0,4.825,1.9196730004904068,21,1039.0,0.08084934891398296,21,1039.0
305.0,19,144.0,3.5121951219512195,3.0916403378509796,19,917.0,0.08747005074488931,19,917.0
310.0,15,109.0,2.5952380952380953,4.053617012549761,15,951.0,0.1449559217286462,15,951.0
315.0,14,95.0,2.375,3.8384401044637224,14,1023.0,0.19089639922174023,14,1023.0
320.0,9,28.0,0.7368421052631579,3.6367418703868815,9,951.0,0.2193158241227549,9,951.0
325.0,4,12.0,0.3,4.3871200267372545,4,749.0,0.219455529844365,4,749.0
330.0,3,6.0,0.13953488372093023,4.2439005857494525,3,701.0,0.17152966922122775,3,701.0
