step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,15.561739437575078,0,0.0,0.9673694055809346,0,0.0
10.0,0,0.0,0.0,15.137668706068528,0,0.0,0.9611310141511351,0,0.0
15.0,0,0.0,0.0,10.645448894836003,0,0.0,0.734797666144408,0,0.0
20.0,3,10.0,0.8333333333333334,10.241520862536754,3,10.0,0.6998182773367857,3,10.0
25.0,4,26.0,1.5294117647058822,8.230501715660424,4,26.0,0.5810988424524113,4,26.0
30.0,8,59.0,2.5652173913043477,7.658897789539079,8,59.0,0.5321445607591037,8,59.0
35.0,10,105.0,3.888888888888889,6.9718191101101255,10,105.0,0.45417067621255724,10,105.0
40.0,15,168.0,5.419354838709677,5.059306770683258,15,168.0,0.2591425872936267,15,168.0
45.0,20,257.0,7.787878787878788,4.406857114429823,20,257.0,0.21547540705061136,20,257.0
50.0,24,367.0,10.485714285714286,3.317612217729999,24,367.0,0.14232792965128485,24,367.0
55.0,26,494.0,14.114285714285714,2.2056144234507,26,494.0,0.08439627205718701,26,494.0
60.0,30,638.0,17.72222222222222,1.6616665612569432,30,638.0,0.0722258929876104,30,638.0
65.0,32,796.0,19.9,2.1252417476723986,32,796.0,0.13359102767640918,32,796.0
70.0,34,962.0,22.904761904761905,1.5655779026083219,34,962.0,0.07171633246466827,34,962.0
75.0,38,1149.0,25.533333333333335,2.010406027029021,38,1149.0,0.09016762244438506,38,1149.0
80.0,33,986.0,20.97872340425532,2.5121141826597935,33,1206.0,0.12083008723872696,33,1206.0
85.0,25,696.0,15.130434782608695,3.4591200495159655,25,1125.0,0.16297664787862615,25,1125.0
90.0,16,397.0,8.446808510638299,3.9881721772789995,16,1161.0,0.16207745767295625,16,1161.0
95.0,13,158.0,3.6744186046511627,4.16658471544494,13,1230.0,0.1522963838091829,13,1230.0
100.0,8,31.0,0.7380952380952381,4.267486262828851,8,1165.0,0.17097009333230961,8,1165.0
105.0,8,24.0,0.5714285714285714,4.5846512285651295,8,936.0,0.17005991581224897,8,936.0
110.0,6,8.0,0.2,4.068022532698636,6,948.0,0.14540206512589154,6,948.0
115.0,8,32.0,0.7804878048780488,4.0297953491582,8,981.0,0.1543044219375018,8,981.0
120.0,14,88.0,2.3783783783783785,3.175683324739257,14,1038.0,0.14929032942483764,14,1038.0
125.0,14,87.0,2.230769230769231,2.671939097381654,14,986.0,0.14248604926699607,14,986.0
130.0,12,51.0,1.2142857142857142,4.359713229894987,12,804.0,0.18274942206468278,12,804.0
135.0,13,51.0,1.1590909090909092,4.094265854228423,13,867.0,0.1573332777313899,13,867.0
140.0,15,72.0,1.7560975609756098,3.6775697768506523,15,946.0,0.15308339127185824,15,946.0
145.0,17,120.0,3.0,3.3996463592731403,17,1022.0,0.13091747849232913,17,1022.0
150.0,23,221.0,5.525,2.0947297904734996,23,1126.0,0.09694013846882583,23,1126.0
155.0,30,356.0,8.476190476190476,1.6168698531097547,30,1261.0,0.05920956616334308,30,1261.0
160.0,36,524.0,12.476190476190476,1.3019368869338688,36,1429.0,0.07342714972150688,36,1429.0
165.0,38,714.0,17.0,1.2806213348673352,38,1619.0,0.024467443824427344,38,1619.0
170.0,32,685.0,16.70731707317073,1.0199094296624656,32,1609.0,0.015690075930508255,32,1609.0
175.0,23,499.0,12.475,2.749455543769482,23,1395.0,0.07255887363796766,23,1395.0
180.0,16,321.0,8.23076923076923,3.194277890786659,16,1483.0,0.08550432439048494,16,1483.0
185.0,14,171.0,4.621621621621622,2.717862712918013,14,1556.0,0.12734877751025409,14,1556.0
190.0,9,39.0,1.054054054054054,3.4639979972271924,9,1430.0,0.20555314367083738,9,1430.0
195.0,8,22.0,0.55,4.097636718387956,8,982.0,0.16713914785385628,8,982.0
200.0,3,5.0,0.12195121951219512,4.424692032619711,3,1003.0,0.1663588537172425,3,1003.0
205.0,9,26.0,0.65,4.26392741004065,9,1040.0,0.14206001897254994,9,1040.0
210.0,12,68.0,1.9428571428571428,3.195626810669031,12,1089.0,0.1152465195584102,12,1089.0
215.0,13,68.0,1.8888888888888888,1.9994240204604898,13,989.0,0.10225726828003194,13,989.0
220.0,10,43.0,1.1025641025641026,4.025316419844458,10,777.0,0.1653241880449466,10,777.0
225.0,13,41.0,1.0,4.173833126876317,13,779.0,0.15286288559737066,13,779.0
230.0,13,49.0,1.2894736842105263,3.4999884469661366,13,844.0,0.12545680848738858,13,844.0
235.0,8,33.0,0.8918918918918919,3.4587959462151447,8,778.0,0.19700197672116745,8,778.0
240.0,4,10.0,0.25,4.603986472063617,4,584.0,0.24247622803110525,4,584.0
245.0,5,10.0,0.23809523809523808,4.758106122492565,5,556.0,0.21567441114649194,5,556.0
250.0,7,31.0,0.7380952380952381,4.548886890088524,7,584.0,0.157729210690756,7,584.0
255.0,7,25.0,0.6410256410256411,4.194476899295277,7,505.0,0.1857971924248965,7,505.0
260.0,4,8.0,0.21052631578947367,4.44963668875409,4,320.0,0.21910701415768136,4,320.0
265.0,4,7.0,0.175,4.823349353454898,4,239.0,0.19055499170798912,4,239.0
270.0,7,25.0,0.6578947368421053,3.992120118453263,7,264.0,0.11033625108451398,7,264.0
275.0,7,24.0,0.7058823529411765,3.7081460610232986,7,202.0,0.15035914684064908,7,202.0
280.0,4,9.0,0.2571428571428571,4.336274558503923,4,148.0,0.22126141890413792,4,148.0
285.0,6,11.0,0.2894736842105263,4.04527794121658,6,148.0,0.18197547170877418,6,148.0
290.0,12,45.0,1.1842105263157894,3.116793508382087,12,193.0,0.12674855690210854,12,193.0
295.0,9,40.0,1.1764705882352942,3.079172878072873,9,191.0,0.18450607609685693,9,191.0
300.0,6,15.0,0.39473684210526316,4.338379150089686,6,109.0,0.1690519048756869,6,109.0
305.0,4,6.0,0.15,4.949393677218929,4,130.0,0.19387903443436488,4,130.0
310.0,9,27.0,0.6923076923076923,4.197503575655768,9,164.0,0.17672081724429492,9,164.0
315.0,7,23.0,0.6388888888888888,3.8060693025726318,7,163.0,0.2047172035916713,7,163.0
320.0,4,7.0,0.18421052631578946,4.5925190434066145,4,126.0,0.21233854871327018,4,126.0
325.0,1,1.0,0.025,5.135423566746184,1,109.0,0.19840852632376116,1,109.0
330.0,7,23.0,0.6052631578947368,4.022707409311665,7,133.0,0.17206384062091037,7,133.0
335.0,7,27.0,0.7297297297297297,3.7961035718145104,7,139.0,0.20865304587262992,7,139.0
340.0,5,14.0,0.35,4.701332235210516,5,113.0,0.23549489447713362,5,113.0
345.0,5,10.0,0.23809523809523808,3.92015741464274,5,130.0,0.16446343319660886,5,130.0
350.0,10,42.0,0.9767441860465116,4.13299085737495,10,172.0,0.16000851872765254,10,172.0
355.0,15,106.0,2.65,3.494984574446657,15,238.0,0.12650522012222318,15,238.0
360.0,16,108.0,2.769230769230769,2.364451456330663,16,267.0,0.10813205822774016,16,267.0
365.0,15,75.0,1.829268292682927,3.673675168678308,15,254.0,0.16721655162863433,15,254.0
370.0,14,72.0,1.6744186046511629,5.335280082467621,14,219.0,0.198795693780652,14,219.0
375.0,5,23.0,0.5609756097560976,5.274955351756988,5,247.0,0.25497876416434423,5,247.0
380.0,6,25.0,0.6578947368421053,5.743572336390277,6,275.0,0.2777248615612084,6,275.0
385.0,7,19.0,0.4634146341463415,4.60360335098533,7,267.0,0.2543573045667043,7,267.0
390.0,6,12.0,0.2926829268292683,4.051507572632925,6,219.0,0.1940633800246486,6,219.0
395.0,5,25.0,0.5813953488372093,5.2044187867770235,5,162.0,0.20182406407101477,5,162.0
400.0,2,2.0,0.046511627906976744,5.152864701928168,2,159.0,0.2377902254689475,2,159.0
405.0,7,24.0,0.631578947368421,5.534751503294894,7,165.0,0.2389359037390549,7,165.0
410.0,6,23.0,0.575,4.6282375434185,6,162.0,0.20712942763797912,6,162.0
415.0,5,16.0,0.3902439024390244,4.954848289986599,5,124.0,0.2003717745209566,5,124.0
420.0,5,10.0,0.25,3.8928399169744297,5,142.0,0.1428521386125571,5,142.0
425.0,11,45.0,1.125,3.335284993183906,11,185.0,0.12921558928232893,11,185.0
430.0,10,46.0,1.2105263157894737,3.258717476686197,10,191.0,0.15682709342836382,10,191.0
435.0,7,24.0,0.6153846153846154,4.159605517841498,7,154.0,0.192691999268754,7,154.0
440.0,5,19.0,0.48717948717948717,5.4881259428559686,5,106.0,0.1817797910493513,5,106.0
445.0,4,5.0,0.13157894736842105,4.991851435410692,4,111.0,0.23115276162640241,4,111.0
450.0,7,28.0,0.8235294117647058,4.8141616239181015,7,135.0,0.21248187815764719,7,135.0
455.0,7,26.0,0.7428571428571429,3.7905364607399212,7,145.0,0.17789544432625265,7,145.0
460.0,5,7.0,0.1891891891891892,4.546482563138704,5,110.0,0.22029298234573788,5,110.0
465.0,5,11.0,0.275,4.702390375033353,5,119.0,0.19990053503941557,5,119.0
470.0,8,35.0,0.8974358974358975,3.8209667445964945,8,150.0,0.1810017526578232,8,150.0
475.0,8,30.0,0.8333333333333334,3.270783134081579,8,154.0,0.16824054588671097,8,154.0
480.0,5,16.0,0.4,4.380698784121746,5,123.0,0.1953104265112627,5,123.0
485.0,4,8.0,0.19047619047619047,4.960182449097552,4,125.0,0.2160238947112499,4,125.0
490.0,7,26.0,0.6341463414634146,4.240759330503901,7,155.0,0.15332683690279778,7,155.0
495.0,8,28.0,0.717948717948718,3.8291019642103046,8,162.0,0.19156789606518287,8,162.0
500.0,6,14.0,0.35,4.515864395376482,6,132.0,0.21020247877878573,6,132.0
505.0,2,17.0,0.38636363636363635,6.182307151232636,2,74.0,0.27747321068792136,2,74.0
510.0,2,3.0,0.07142857142857142,5.525502181408639,2,64.0,0.27090794576890526,2,64.0
515.0,8,31.0,0.8378378378378378,5.396506671966514,8,89.0,0.2281977875437611,8,89.0
520.0,9,34.0,0.8717948717948718,4.510079637473776,9,105.0,0.1667246799928172,9,105.0
525.0,6,17.0,0.425,4.599026411519162,6,89.0,0.20845173208155546,6,89.0
530.0,4,9.0,0.225,4.223527009261821,4,96.0,0.164242866552671,4,96.0
535.0,7,29.0,0.6904761904761905,4.2136024919069826,7,125.0,0.1643161635854795,7,125.0
540.0,14,84.0,2.27027027027027,3.1878203717262803,14,182.0,0.16180075779742323,14,182.0
545.0,14,81.0,2.076923076923077,2.5299587894773685,14,210.0,0.14560283971828927,14,210.0
550.0,13,54.0,1.3170731707317074,3.4730919383293335,13,203.0,0.14702154210988594,13,203.0
555.0,12,42.0,0.9767441860465116,3.8180449385111594,12,221.0,0.11875900958553241,12,221.0
560.0,12,43.0,1.048780487804878,4.353582103309683,12,276.0,0.14250418519280317,12,276.0
565.0,8,24.0,0.631578947368421,4.480761433315419,8,276.0,0.21894564524293972,8,276.0
570.0,3,5.0,0.1282051282051282,5.230157031210144,3,224.0,0.2635961714105444,3,224.0
575.0,2,3.0,0.07317073170731707,5.4063305559933825,2,207.0,0.22237705800791646,2,207.0
580.0,6,24.0,0.6153846153846154,4.028010958375938,6,232.0,0.1401137167192245,6,232.0
585.0,13,77.0,2.2,3.002733676013629,13,285.0,0.1430310325761176,13,285.0
590.0,14,78.0,2.108108108108108,2.4907733825059912,14,302.0,0.1258180704497378,14,302.0
595.0,9,44.0,1.0476190476190477,4.2770123902533905,9,263.0,0.20308039928470784,9,263.0
600.0,11,31.0,0.7209302325581395,3.9439524296742206,11,314.0,0.17694747142865405,11,314.0
605.0,13,54.0,1.35,3.4283700047408914,13,376.0,0.13677777805704827,13,376.0
610.0,16,104.0,2.736842105263158,2.861168579137871,16,447.0,0.1285179099019121,16,447.0
615.0,17,107.0,2.7435897435897436,1.9107495528153582,17,462.0,0.09872541155179623,17,462.0
620.0,15,81.0,2.025,3.420129176094613,15,378.0,0.11779120227096558,15,378.0
625.0,14,51.0,1.2142857142857142,3.6451478253638587,14,431.0,0.12940860220109726,14,431.0
630.0,13,62.0,1.55,3.6782164340047174,13,500.0,0.14309137570877434,13,500.0
635.0,7,24.0,0.6486486486486487,3.5947734275156433,7,472.0,0.17048202974025248,7,472.0
640.0,4,9.0,0.23684210526315788,4.3339976308223545,4,373.0,0.17330393300062805,4,373.0
645.0,5,12.0,0.3157894736842105,4.080204944667159,5,362.0,0.12077229968343844,5,362.0
650.0,8,35.0,0.8974358974358975,3.7722634700314925,8,393.0,0.15066672137396536,8,393.0
655.0,15,96.0,2.5945945945945947,3.3567670861326806,15,456.0,0.1854300846162009,15,456.0
660.0,15,98.0,2.3902439024390243,2.9113119560045533,15,453.0,0.1918595646419681,15,453.0
665.0,13,68.0,1.5813953488372092,3.6175235941793296,13,395.0,0.16262465258201475,13,395.0
670.0,14,58.0,1.288888888888889,3.5696752309290956,14,433.0,0.13153465578784063,14,433.0
675.0,12,50.0,1.1904761904761905,3.9645120481623493,12,492.0,0.11406083316684267,12,492.0
680.0,8,30.0,0.7317073170731707,4.450774077447152,8,472.0,0.16449989393454373,8,472.0
685.0,5,19.0,0.48717948717948717,4.350155906987755,5,377.0,0.1932234312722222,5,377.0
690.0,5,12.0,0.3076923076923077,4.520426357573324,5,369.0,0.14917006846889339,5,369.0
695.0,11,37.0,0.9487179487179487,3.7884317338051767,11,410.0,0.15332940903168643,11,410.0
700.0,9,34.0,0.918918918918919,3.7169838716396546,9,384.0,0.21641405333773003,9,384.0
705.0,6,17.0,0.4146341463414634,4.458405125256084,6,291.0,0.23268316378276407,6,291.0
710.0,4,7.0,0.16279069767441862,4.705606687834025,4,287.0,0.20231559757184925,4,287.0
715.0,8,27.0,0.6428571428571429,4.389935839187122,8,321.0,0.16722566635496625,8,321.0
720.0,7,22.0,0.5365853658536586,4.517475467082334,7,300.0,0.2053813772694259,7,300.0
725.0,5,12.0,0.2926829268292683,4.778877575236278,5,222.0,0.2388490594238559,5,222.0
730.0,3,5.0,0.11627906976744186,5.29309147160437,3,195.0,0.24881981922806284,3,195.0
735.0,7,22.0,0.5365853658536586,4.43193354284377,7,226.0,0.15668899547717066,7,226.0
740.0,7,18.0,0.4864864864864865,3.7886963566942082,7,212.0,0.16034990702136478,7,212.0
745.0,4,10.0,0.2702702702702703,4.539859738166636,4,124.0,0.19000010509586773,4,124.0
750.0,1,2.0,0.05,5.070269071685665,1,113.0,0.2077297808798311,1,113.0
755.0,6,27.0,0.6923076923076923,4.148313802316068,6,139.0,0.19287887927401154,6,139.0
760.0,7,24.0,0.6857142857142857,3.18795867249772,7,141.0,0.16244917099386944,7,141.0
765.0,6,13.0,0.3333333333333333,4.668808720572661,6,103.0,0.21927299802316239,6,103.0
770.0,4,10.0,0.24390243902439024,4.273695878881596,4,118.0,0.176798632263876,4,118.0
775.0,10,41.0,1.0512820512820513,3.269333586411737,10,153.0,0.13776476598929308,10,153.0
780.0,9,40.0,1.0256410256410255,3.8263268231427174,9,161.0,0.1540670059201424,9,161.0
785.0,5,12.0,0.3,4.666983234082661,5,127.0,0.18661661955621994,5,127.0
790.0,7,11.0,0.28205128205128205,4.519780679307099,7,135.0,0.14146749203684594,7,135.0
795.0,9,35.0,0.9210526315789473,3.486507987309105,9,175.0,0.1461243588383461,9,175.0
800.0,7,29.0,0.8285714285714286,3.2100304744748804,7,177.0,0.22448251985437365,7,177.0
805.0,6,17.0,0.425,4.307695746416465,6,144.0,0.22080312375232045,6,144.0
810.0,2,3.0,0.07142857142857142,4.732116251990658,2,133.0,0.19931262551635054,2,133.0
815.0,6,21.0,0.5,4.632404328195526,6,154.0,0.19892434090080566,6,154.0
820.0,6,19.0,0.4634146341463415,4.969783462725706,6,151.0,0.2665657227181869,6,151.0
825.0,3,4.0,0.0975609756097561,5.159341351616311,3,98.0,0.25819356774536273,3,98.0
830.0,1,1.0,0.023255813953488372,4.979333905122248,1,90.0,0.18939864493245218,1,90.0
835.0,7,22.0,0.5,4.891770633179224,7,111.0,0.2334117185549596,7,111.0
840.0,13,71.0,1.7317073170731707,4.399917733750671,13,161.0,0.2070047136237058,13,161.0
845.0,13,75.0,1.829268292682927,2.8312281684014633,13,188.0,0.1375123569906284,13,188.0
850.0,14,50.0,1.1627906976744187,3.6306390448345858,14,158.0,0.14035401468197276,14,158.0
855.0,10,36.0,0.7659574468085106,4.473327202145533,10,209.0,0.2200901792034803,10,209.0
860.0,13,46.0,1.0,4.94072557093756,13,259.0,0.2551738514558495,13,259.0
865.0,14,89.0,2.0697674418604652,4.4466409455484674,14,320.0,0.21388231910267014,14,320.0
870.0,20,178.0,3.869565217391304,3.605317060297191,20,409.0,0.16229795148929743,20,409.0
875.0,27,299.0,6.644444444444445,2.7871219346063434,27,530.0,0.10679255905503846,27,530.0
880.0,35,457.0,9.934782608695652,2.351969226414178,35,688.0,0.0261570893734422,35,688.0
885.0,38,641.0,14.568181818181818,1.9230494075955564,38,872.0,0.025796698017943934,38,872.0
890.0,32,623.0,15.195121951219512,1.451035465419013,32,953.0,0.04315116573027555,32,953.0
895.0,22,454.0,11.073170731707316,3.2809513339067564,22,906.0,0.11621700121650134,22,906.0
900.0,15,320.0,7.619047619047619,5.337154742402087,15,756.0,0.21528399442101717,15,756.0
905.0,6,123.0,3.1538461538461537,5.32903864096405,6,798.0,0.26523656332005346,6,798.0
910.0,8,29.0,0.7435897435897436,5.7744645900728075,8,829.0,0.2669665073717143,8,829.0
915.0,7,24.0,0.6486486486486487,4.93889595198824,7,781.0,0.25479796939510957,7,781.0
920.0,5,9.0,0.23684210526315788,4.706871782815681,5,560.0,0.1949778454855631,5,560.0
925.0,3,4.0,0.09523809523809523,5.0349883639197905,3,573.0,0.23797635415223148,3,573.0
930.0,8,25.0,0.6097560975609756,4.390589925629295,8,598.0,0.17378550408331256,8,598.0
935.0,9,28.0,0.7777777777777778,3.6636714187906017,9,554.0,0.1794226863815097,9,554.0
940.0,5,11.0,0.28205128205128205,4.425623476036099,5,418.0,0.213295155820879,5,418.0
945.0,3,15.0,0.3488372093023256,6.536462342521424,3,214.0,0.3028802814569021,3,214.0
950.0,2,1.0,0.023255813953488372,5.949687915419017,2,207.0,0.31723309463636,2,207.0
955.0,7,24.0,0.6153846153846154,5.863543228543239,7,231.0,0.28302616142401044,7,231.0
960.0,7,24.0,0.5581395348837209,5.361232802537679,7,191.0,0.27226455594771176,7,191.0
965.0,4,10.0,0.23255813953488372,5.266100689082612,4,64.0,0.23840393340081276,4,64.0
970.0,1,1.0,0.023255813953488372,4.7809893305492475,1,61.0,0.2145970639065502,1,61.0
975.0,9,27.0,0.6428571428571429,4.569457878130152,9,88.0,0.16972512545891028,9,88.0
980.0,13,79.0,2.0789473684210527,3.7937298404362054,13,141.0,0.1605709536503434,13,141.0
985.0,14,79.0,2.0256410256410255,2.5308625731864303,14,175.0,0.13376577648292087,14,175.0
990.0,12,49.0,1.2564102564102564,3.3822286888191755,12,170.0,0.15719922085093516,12,170.0
