step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.569790159911804,0,0.0,0.9492960484563638,0,0.0
10.0,0,0.0,0.0,12.645133998460919,0,0.0,0.9240309363081268,0,0.0
15.0,1,2.0,0.16666666666666666,9.171360319050391,1,2.0,0.6392473823790926,1,2.0
20.0,4,16.0,1.1428571428571428,9.004001462268253,4,16.0,0.6217085655035729,4,16.0
25.0,6,39.0,2.1666666666666665,7.54211393476737,6,39.0,0.39215435962792344,6,39.0
30.0,9,77.0,4.529411764705882,6.148632518553426,9,77.0,0.33421670634042366,9,77.0
35.0,10,123.0,6.473684210526316,4.9172814448456394,10,123.0,0.20402941956559079,10,123.0
40.0,12,181.0,9.526315789473685,4.849012195976933,12,181.0,0.27870953857315767,12,181.0
45.0,13,243.0,12.15,3.713220350948647,13,243.0,0.19226552828000865,13,243.0
50.0,17,316.0,14.363636363636363,3.1907875625184774,17,316.0,0.17946633266487538,17,316.0
55.0,17,401.0,16.708333333333332,2.676664552565695,17,401.0,0.2075145057431783,17,401.0
60.0,20,497.0,18.40740740740741,2.9130463111115006,20,497.0,0.15169762066939105,20,497.0
65.0,23,603.0,18.84375,3.096510252043763,23,603.0,0.1756172325009888,23,603.0
70.0,26,727.0,22.03030303030303,2.1085948413899644,26,727.0,0.10244352858982085,26,727.0
75.0,28,865.0,24.714285714285715,2.6369464566348526,28,865.0,0.14300551665776293,28,865.0
80.0,29,1007.0,25.82051282051282,2.211123090768729,29,1007.0,0.11624520833032338,29,1007.0
85.0,33,1164.0,28.390243902439025,1.7067954948907844,33,1164.0,0.08725856070260392,33,1164.0
90.0,37,1343.0,31.976190476190474,1.131757714250312,37,1343.0,0.024106159610705388,37,1343.0
95.0,32,1073.0,26.170731707317074,1.3649343862997698,32,1366.0,0.04136481334430625,32,1366.0
100.0,22,607.0,14.116279069767442,3.607255386866806,22,1203.0,0.11419891098632884,22,1203.0
105.0,14,315.0,7.325581395348837,5.85220909220487,14,900.0,0.23710875938076154,14,900.0
110.0,5,114.0,2.7804878048780486,6.2418499961584635,5,940.0,0.32682263630248337,5,940.0
115.0,6,20.0,0.5405405405405406,5.551486836327198,6,964.0,0.24198214275724608,6,964.0
120.0,8,21.0,0.5833333333333334,3.563654958429085,8,883.0,0.16464834790867486,8,883.0
125.0,5,15.0,0.39473684210526316,4.014835884944981,5,691.0,0.1598919422282286,5,691.0
130.0,3,7.0,0.1794871794871795,4.138676808145284,3,649.0,0.15926953220958748,3,649.0
135.0,8,37.0,0.925,3.9303661866565007,8,679.0,0.1477712281415554,8,679.0
140.0,13,94.0,2.473684210526316,3.5501956571917788,13,736.0,0.19292682947762899,13,736.0
145.0,14,88.0,2.0952380952380953,3.3298843605379838,14,688.0,0.1886720194207678,14,688.0
150.0,12,50.0,1.1363636363636365,3.919693783321705,12,529.0,0.17846180428488062,12,529.0
155.0,12,40.0,0.8888888888888888,3.244274857153109,12,582.0,0.12665430514138254,12,582.0
160.0,16,60.0,1.3333333333333333,4.016371203225005,16,647.0,0.1268815294473686,16,647.0
165.0,10,40.0,0.975609756097561,4.003120293439083,10,585.0,0.16262084909119182,10,585.0
170.0,7,23.0,0.5609756097560976,4.684898696766794,7,384.0,0.18934377951392733,7,384.0
175.0,8,16.0,0.4,4.336415424062535,8,412.0,0.13902533008235632,8,412.0
180.0,10,38.0,1.0,3.31089829070622,10,456.0,0.09095648936681824,10,456.0
185.0,14,95.0,2.638888888888889,2.7455084292444676,14,518.0,0.14359864927100183,14,518.0
190.0,15,94.0,2.41025641025641,2.4478422710392085,15,481.0,0.14609247116129595,15,481.0
195.0,13,62.0,1.5897435897435896,3.5291350197992153,13,328.0,0.12913951174496568,13,328.0
200.0,12,43.0,1.0238095238095237,4.082060622337882,12,383.0,0.13679688058699732,12,383.0
205.0,13,50.0,1.2820512820512822,3.685369497280772,13,448.0,0.1490210490742136,13,448.0
210.0,9,34.0,0.918918918918919,3.211584699951812,9,434.0,0.1622601112363657,9,434.0
215.0,7,23.0,0.575,4.2227317696411415,7,360.0,0.2176129477534475,7,360.0
220.0,6,14.0,0.3181818181818182,4.679088676564571,6,385.0,0.23298333696679815,6,385.0
225.0,9,40.0,0.9302325581395349,4.128149503463942,9,425.0,0.15621099460124008,9,425.0
230.0,15,98.0,2.3902439024390243,3.5760079525957305,15,485.0,0.1515126968553678,15,485.0
235.0,14,96.0,2.341463414634146,2.8439322181796496,14,484.0,0.11763125330358615,14,484.0
240.0,12,65.0,1.5853658536585367,3.9196923758410636,12,406.0,0.1488549993490185,12,406.0
245.0,13,57.0,1.3902439024390243,3.9100859191258377,13,438.0,0.11918309731865384,13,438.0
250.0,13,56.0,1.4,3.900146547757237,13,504.0,0.1493700001217266,13,504.0
255.0,8,31.0,0.8378378378378378,3.8052062610884456,8,475.0,0.22696553945642325,8,475.0
260.0,5,13.0,0.3333333333333333,4.657263686182599,5,365.0,0.2396157263575231,5,365.0
265.0,4,11.0,0.2682926829268293,4.1023044274799565,4,384.0,0.16396248610559552,4,384.0
270.0,9,47.0,1.0930232558139534,4.095520501453842,9,420.0,0.16325287369927954,9,420.0
275.0,15,114.0,2.923076923076923,3.21379121894576,15,487.0,0.12026236164030359,15,487.0
280.0,17,114.0,2.923076923076923,1.3917192139730372,17,486.0,0.0567298262690708,17,486.0
285.0,14,76.0,1.9487179487179487,2.895878502939973,14,384.0,0.06925307817635895,14,384.0
290.0,13,60.0,1.3953488372093024,4.204666082467307,13,442.0,0.1775592722180996,13,442.0
295.0,13,62.0,1.55,3.909076169660088,13,509.0,0.19139910921143857,13,509.0
300.0,13,93.0,2.4473684210526314,3.359066444402553,13,572.0,0.18633110699468547,13,572.0
305.0,20,178.0,4.45,2.3932124908251593,20,657.0,0.12369060955858095,20,657.0
310.0,28,301.0,7.341463414634147,1.6365539543655343,28,780.0,0.06492676942208804,28,780.0
315.0,29,310.0,7.209302325581396,1.3957253399322198,29,817.0,0.04671290059520776,29,817.0
320.0,24,250.0,5.813953488372093,3.4356079320069335,24,748.0,0.1581724051441973,24,748.0
325.0,15,188.0,4.372093023255814,5.583699024970837,15,604.0,0.19971014292339864,15,604.0
330.0,7,67.0,1.7179487179487178,5.11305486226376,7,631.0,0.22694722682701265,7,631.0
335.0,8,36.0,1.0285714285714285,4.852310906342474,8,661.0,0.18978342959033795,8,661.0
340.0,15,99.0,2.675675675675676,3.8528665405160334,15,724.0,0.17722026602585642,15,724.0
345.0,22,196.0,5.0256410256410255,2.2726374792959207,22,821.0,0.15025336473473758,22,821.0
350.0,28,324.0,7.902439024390244,1.7146854417334614,28,949.0,0.0839313249810121,28,949.0
355.0,30,332.0,7.72093023255814,1.6141849992633786,30,976.0,0.06457860734802441,30,976.0
360.0,23,258.0,6.0,3.205121085299278,23,889.0,0.14159818030653976,23,889.0
365.0,16,180.0,4.090909090909091,5.266801247412594,16,700.0,0.18621351094507752,16,700.0
370.0,9,121.0,2.951219512195122,6.79918450540064,9,587.0,0.3385854598503518,9,587.0
375.0,2,2.0,0.05,7.019217736500593,2,531.0,0.4100011235079787,2,531.0
380.0,7,26.0,0.6666666666666666,6.7085917319457895,7,546.0,0.3422295473507934,7,546.0
385.0,13,80.0,2.051282051282051,4.654707832398757,13,600.0,0.18529653136788138,13,600.0
390.0,20,168.0,3.8181818181818183,3.763120535448314,20,688.0,0.16573570696134274,20,688.0
395.0,26,288.0,6.6976744186046515,2.4252354853102642,26,808.0,0.09631009552137715,26,808.0
400.0,28,294.0,7.170731707317073,0.6971170654252061,28,819.0,0.031501387187357205,28,819.0
405.0,25,236.0,5.488372093023256,3.2345510350972524,25,732.0,0.13053409349623812,25,732.0
410.0,17,196.0,4.558139534883721,5.236824298805809,17,561.0,0.20969239748965857,17,561.0
415.0,6,57.0,1.3902439024390243,5.099420658094136,6,586.0,0.22671753408230494,6,586.0
420.0,9,33.0,0.868421052631579,5.886353867278745,9,610.0,0.2704199347054535,9,610.0
