step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.576111070470382,0,0.0,0.9625371088895381,0,0.0
10.0,0,0.0,0.0,13.07251055331384,0,0.0,0.9113258135074881,0,0.0
15.0,2,5.0,0.4166666666666667,11.001143880438592,2,5.0,0.7752550624555107,2,5.0
20.0,2,15.0,1.0,9.56243002337678,2,15.0,0.6178366887790935,2,15.0
25.0,6,37.0,1.9473684210526316,7.32566551021585,6,37.0,0.4793551557635105,6,37.0
30.0,11,80.0,4.0,4.380879627071654,11,80.0,0.2865295025801866,11,80.0
35.0,14,141.0,6.130434782608695,2.827370527850435,14,141.0,0.1476869430072156,14,141.0
40.0,18,228.0,9.5,2.00973587357226,18,228.0,0.11565069888336849,18,228.0
45.0,21,328.0,13.12,1.5949254234229884,21,328.0,0.08319913392477694,21,328.0
50.0,22,438.0,15.642857142857142,2.746996843053917,22,438.0,0.16290178450206516,22,438.0
55.0,23,550.0,17.741935483870968,3.041532362041573,23,550.0,0.20027444374120243,23,550.0
60.0,24,668.0,20.242424242424242,2.779705752821998,24,668.0,0.1301647783561772,24,668.0
65.0,26,798.0,22.166666666666668,2.7084187135899405,26,798.0,0.1295518713384005,26,798.0
70.0,31,940.0,24.102564102564102,2.349587553468833,31,940.0,0.125082137015365,31,940.0
75.0,33,1101.0,26.214285714285715,2.017590777313928,33,1101.0,0.08457409128784202,33,1101.0
80.0,38,1278.0,30.428571428571427,1.2507903315262563,38,1278.0,0.00028302909400682713,38,1278.0
85.0,32,1069.0,25.452380952380953,1.6830007943336052,32,1316.0,0.03875487260712297,32,1316.0
90.0,22,635.0,15.119047619047619,3.5806986492803516,22,1200.0,0.10926880403434922,22,1200.0
95.0,17,343.0,8.365853658536585,3.67195639803652,17,1290.0,0.1211911108559027,17,1290.0
100.0,14,171.0,4.275,3.455807577604836,14,1366.0,0.13610295051045496,14,1366.0
105.0,15,94.0,2.473684210526316,2.9746841927366354,15,1433.0,0.1938632416557258,15,1433.0
110.0,21,187.0,4.675,2.019738201692648,21,1527.0,0.1063323718341076,21,1527.0
115.0,27,312.0,7.609756097560975,1.6774038536753244,27,1652.0,0.034591034614579776,27,1652.0
120.0,35,468.0,11.414634146341463,0.9547860937094722,35,1810.0,0.0017891112839835618,35,1810.0
125.0,38,652.0,15.162790697674419,1.524295468752159,38,1994.0,0.0496764050760387,38,1994.0
130.0,32,631.0,15.023809523809524,1.8098768517431654,32,1985.0,0.11205777806035508,32,1985.0
135.0,22,458.0,10.651162790697674,3.726431169867187,22,1756.0,0.16943580585186913,22,1756.0
140.0,16,296.0,6.883720930232558,4.116732269834101,16,1761.0,0.15248657053982387,16,1761.0
145.0,14,159.0,3.975,3.959896072470289,14,1833.0,0.15439021862546745,14,1833.0
150.0,10,37.0,0.9736842105263158,3.530019830472107,10,1699.0,0.1855686739326675,10,1699.0
155.0,6,20.0,0.5,4.371462677483017,6,1372.0,0.23432227802936126,6,1372.0
160.0,5,10.0,0.23809523809523808,3.7691978406590376,5,1389.0,0.1590482173934293,5,1389.0
165.0,11,47.0,1.0681818181818181,4.020851659891284,11,1432.0,0.1743599360990607,11,1432.0
170.0,16,112.0,2.6666666666666665,3.665768388201896,16,1498.0,0.1724560995843422,16,1498.0
175.0,23,213.0,4.953488372093023,2.3752693789870762,23,1599.0,0.10293423379819285,23,1599.0
180.0,29,346.0,8.238095238095237,2.048399636633726,29,1734.0,0.03588744531451448,29,1734.0
185.0,35,510.0,11.590909090909092,1.7625824186643535,35,1903.0,0.06993888323399852,35,1903.0
190.0,38,699.0,16.25581395348837,1.5970072335194212,38,2092.0,0.0696799387867223,38,2092.0
195.0,32,671.0,15.976190476190476,1.2483299841991695,32,2028.0,0.04679202084016899,32,2028.0
200.0,25,496.0,11.534883720930232,3.228240936673681,25,1732.0,0.11254630100265474,25,1732.0
205.0,15,337.0,7.488888888888889,4.902376124604849,15,1615.0,0.20675258876238276,15,1615.0
210.0,11,147.0,3.5,4.736574579936218,11,1670.0,0.2114023456974529,11,1670.0
215.0,13,69.0,1.725,4.358212283917537,13,1726.0,0.2025608567337381,13,1726.0
220.0,19,152.0,3.619047619047619,3.1359760456208625,19,1810.0,0.13914922110897235,19,1810.0
225.0,26,265.0,6.309523809523809,2.0081990471301108,26,1923.0,0.046244344766853004,26,1923.0
230.0,32,412.0,9.80952380952381,1.2941497729527363,32,2070.0,0.05226923503349116,32,2070.0
235.0,38,587.0,13.651162790697674,1.5304690361151543,38,2247.0,0.07192807999085678,38,2247.0
240.0,32,578.0,13.44186046511628,1.993033109035498,32,2173.0,0.10999445506302971,32,2173.0
245.0,23,422.0,10.047619047619047,3.2284369249894205,23,1705.0,0.1201594649144197,23,1705.0
250.0,14,294.0,6.681818181818182,4.4256694801624405,14,1683.0,0.1888562246869863,14,1683.0
255.0,12,136.0,3.317073170731707,4.531389448831675,12,1748.0,0.18898015433919277,12,1748.0
260.0,13,75.0,2.027027027027027,3.56701384533304,13,1806.0,0.1863954761856067,13,1806.0
265.0,13,75.0,1.9736842105263157,2.3340114931773317,13,1632.0,0.13308011488360996,13,1632.0
270.0,12,48.0,1.170731707317073,3.6243527304298127,12,1284.0,0.14568319311569497,12,1284.0
275.0,12,38.0,0.8636363636363636,3.7336800859241124,12,1330.0,0.16144010749303672,12,1330.0
280.0,16,67.0,1.5952380952380953,3.6594845568893084,16,1407.0,0.15391024338297365,16,1407.0
285.0,15,111.0,2.8461538461538463,3.021277157208557,15,1480.0,0.12860013776685517,15,1480.0
290.0,23,208.0,5.473684210526316,1.4225514210586672,23,1577.0,0.06452514160584838,23,1577.0
295.0,30,342.0,7.953488372093023,2.118453262009057,30,1711.0,0.09688511674371568,30,1711.0
300.0,35,503.0,11.69767441860465,1.5466960541744537,35,1872.0,0.08964196041866991,35,1872.0
305.0,38,692.0,16.093023255813954,1.5331228779349848,38,2061.0,0.02217109604315723,38,2061.0
310.0,38,882.0,20.511627906976745,1.629883206860021,38,2251.0,0.025296641858966337,38,2251.0
315.0,32,825.0,19.642857142857142,1.743378613051951,32,2163.0,0.06561971946085665,32,2163.0
320.0,24,663.0,16.575,2.9218952556414735,24,1849.0,0.0993754120853431,24,1849.0
325.0,19,416.0,10.146341463414634,3.480694941321511,19,1951.0,0.10990189475197598,19,1951.0
330.0,16,237.0,6.076923076923077,3.2291045899536894,16,2035.0,0.129907382867022,16,2035.0
335.0,11,53.0,1.5142857142857142,2.4058184178734217,11,1878.0,0.15958989285563752,11,1878.0
340.0,10,34.0,0.8292682926829268,4.23266138873085,10,1502.0,0.2085143549247189,10,1502.0
345.0,8,23.0,0.5476190476190477,4.421639438190972,8,1435.0,0.18055544106974317,8,1435.0
350.0,11,40.0,0.975609756097561,4.055342020510531,11,1485.0,0.1457273812425726,11,1485.0
355.0,14,90.0,2.3684210526315788,3.4042651790618326,14,1546.0,0.12253835064182116,14,1546.0
360.0,21,178.0,4.45,2.1989050469313396,21,1636.0,0.06893126294822388,21,1636.0
365.0,27,299.0,7.868421052631579,0.8464941368338169,27,1758.0,0.03770928527993866,27,1758.0
370.0,35,456.0,11.692307692307692,0.34626307713004173,35,1916.0,0.0017608777124275693,35,1916.0
375.0,38,638.0,15.95,0.6645575597762562,38,2099.0,0.02398110226832315,38,2099.0
380.0,32,619.0,15.871794871794872,0.9256125298711299,32,1998.0,0.04343116563067943,32,1998.0
