step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.473643492267133,0,0.0,0.9587902552625447,0,0.0
10.0,0,0.0,0.0,13.31823983847521,0,0.0,0.8945716619750675,0,0.0
15.0,1,1.0,0.1111111111111111,11.705404801296204,1,1.0,0.7926783207645538,1,1.0
20.0,3,10.0,0.7692307692307693,8.283482438439954,3,10.0,0.5757285643018704,3,10.0
25.0,6,35.0,1.9444444444444444,7.5519282108081045,6,35.0,0.5453315022991945,6,35.0
30.0,9,72.0,3.272727272727273,6.191737496580081,9,72.0,0.4351783691616267,9,72.0
35.0,13,130.0,5.0,5.441576520621546,13,130.0,0.3183744350140294,13,130.0
40.0,17,206.0,6.866666666666666,4.23239638374778,17,206.0,0.21521251419050189,17,206.0
45.0,23,307.0,9.029411764705882,4.03063443780195,23,307.0,0.2544457839044925,23,307.0
50.0,25,426.0,12.17142857142857,3.275014715052957,25,426.0,0.18076886061644767,25,426.0
55.0,28,557.0,15.472222222222221,2.7282171639312947,28,557.0,0.09431421571096552,28,557.0
60.0,28,697.0,18.342105263157894,3.2077739906848506,28,697.0,0.13410230392610814,28,697.0
65.0,30,839.0,21.512820512820515,2.5610452320994934,30,839.0,0.10785482325216636,30,839.0
70.0,33,997.0,24.925,1.9250605325549905,33,997.0,0.0750656400865962,33,997.0
75.0,35,1167.0,27.785714285714285,2.0461617608195817,35,1167.0,0.11153418522716577,35,1167.0
80.0,36,1345.0,31.27906976744186,1.9215156217738487,36,1345.0,0.09462833634763537,36,1345.0
85.0,37,1529.0,33.977777777777774,2.1285524776764095,37,1529.0,0.09187531670393356,37,1529.0
90.0,38,1718.0,38.17777777777778,1.9895772289245106,38,1718.0,0.04719396562522162,38,1718.0
95.0,32,1455.0,33.06818181818182,1.945265488653899,32,1745.0,0.06467045961161653,32,1745.0
100.0,25,1064.0,22.166666666666668,4.398127852023065,25,1592.0,0.19826252663528937,25,1592.0
105.0,16,548.0,11.659574468085106,4.843147371640524,16,1610.0,0.2357614528219071,16,1610.0
110.0,13,190.0,4.4186046511627906,4.488446451459883,13,1677.0,0.15855887047118497,13,1677.0
115.0,8,31.0,0.7560975609756098,4.155211416288971,8,1579.0,0.1828920757536241,8,1579.0
120.0,6,18.0,0.4186046511627907,4.99627088618668,6,1324.0,0.25095829408974757,6,1324.0
125.0,3,5.0,0.11627906976744186,4.857736242864022,3,1191.0,0.23839816882502468,3,1191.0
130.0,6,21.0,0.4666666666666667,4.885847648627625,6,1215.0,0.18807175805034737,6,1215.0
135.0,13,71.0,1.7317073170731707,4.529589708371919,13,1265.0,0.21699509543554313,13,1265.0
140.0,13,65.0,1.5853658536585367,3.0621042698530894,13,1171.0,0.176056518839414,13,1171.0
145.0,13,48.0,1.0434782608695652,4.50180742654296,13,854.0,0.21575083939623166,13,854.0
150.0,9,26.0,0.5416666666666666,4.801689046118173,9,827.0,0.22656012322246824,9,827.0
155.0,12,37.0,0.8222222222222222,4.796647525807277,12,873.0,0.20632526765842768,12,873.0
160.0,13,73.0,1.7804878048780488,4.306851518392303,13,931.0,0.14256113141343862,13,931.0
165.0,19,154.0,3.5813953488372094,3.497409268497934,19,1012.0,0.1098791808499243,19,1012.0
170.0,26,270.0,6.585365853658536,1.8321323211812774,26,1128.0,0.09021441186294381,26,1128.0
175.0,27,281.0,6.690476190476191,1.3920819241194433,27,1086.0,0.08968642112579539,27,1086.0
180.0,24,233.0,5.5476190476190474,2.682042986632178,24,888.0,0.09813095958765168,24,888.0
185.0,17,169.0,3.9302325581395348,3.493582561846294,17,979.0,0.12867963426601708,17,979.0
190.0,13,115.0,2.8048780487804876,3.741762581005568,13,1050.0,0.1565171009873805,13,1050.0
195.0,10,35.0,0.8974358974358975,3.4390670527554428,10,943.0,0.15773783510330563,10,943.0
200.0,7,21.0,0.5384615384615384,3.4365135848264323,7,688.0,0.15167890360446057,7,688.0
205.0,6,11.0,0.275,3.9838703680203196,6,643.0,0.15081731392155276,6,643.0
210.0,11,34.0,0.8947368421052632,3.4212585726550073,11,685.0,0.13202944398206007,11,685.0
215.0,13,81.0,2.25,2.9212452430313998,13,742.0,0.1444510564388513,13,742.0
220.0,15,82.0,2.1578947368421053,1.754817245970482,15,672.0,0.11189046471220301,15,672.0
225.0,11,56.0,1.4,3.2661696515637133,11,578.0,0.14280408142174214,11,578.0
230.0,13,48.0,1.1162790697674418,3.560417162708372,13,636.0,0.14627029569062988,13,636.0
235.0,14,60.0,1.5,3.4883736535595253,14,705.0,0.1561950756455913,14,705.0
240.0,15,104.0,2.736842105263158,2.884533702910512,15,773.0,0.10014239804495127,15,773.0
