step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.886950939757565,0,0.0,0.9193205525999743,0,0.0
10.0,0,0.0,0.0,13.958114799810835,0,0.0,0.9592103598251246,0,0.0
15.0,0,0.0,0.0,10.501170455317784,0,0.0,0.7247333415430697,0,0.0
20.0,1,3.0,0.42857142857142855,9.534851897663984,1,3.0,0.6504331420062465,1,3.0
25.0,2,11.0,1.0,9.800172674588152,2,11.0,0.6706524917695955,2,11.0
30.0,3,26.0,2.0,8.638651980430677,3,26.0,0.5524335694365056,3,26.0
35.0,8,54.0,3.0,6.827055265595023,8,54.0,0.4390957149595641,8,54.0
40.0,10,98.0,4.260869565217392,5.581691491697213,10,98.0,0.3611991645996265,10,98.0
45.0,13,161.0,7.318181818181818,2.375709196711765,13,161.0,0.10210197801451992,13,161.0
50.0,19,242.0,9.307692307692308,3.4969552635114463,19,242.0,0.230251852188957,19,242.0
55.0,19,337.0,11.620689655172415,4.044912204245784,19,337.0,0.27101993076140973,19,337.0
60.0,22,439.0,12.542857142857143,4.505982028662942,22,439.0,0.2696166763218224,22,439.0
65.0,18,322.0,8.944444444444445,3.739250772697103,18,457.0,0.19702628545808493,18,457.0
70.0,15,160.0,4.2105263157894735,3.7714753583623333,15,402.0,0.15073203917651445,15,402.0
75.0,11,57.0,1.3902439024390243,5.473281191761915,11,294.0,0.2076777587206049,11,294.0
80.0,4,10.0,0.24390243902439024,5.275742203786913,4,311.0,0.2288593955171473,4,311.0
85.0,8,31.0,0.8611111111111112,5.2606242160337855,8,318.0,0.23245104587705845,8,318.0
90.0,14,88.0,2.4444444444444446,3.7635328858986554,14,375.0,0.15384069208199203,14,375.0
95.0,21,174.0,4.9714285714285715,1.4981457771854185,21,461.0,0.054906711736881664,21,461.0
100.0,27,294.0,7.945945945945946,1.0538313768275605,27,581.0,0.07495439880187613,27,581.0
105.0,33,446.0,11.15,1.2135072852662772,33,733.0,0.08344480903672674,33,733.0
110.0,38,629.0,14.976190476190476,1.274398304524127,38,916.0,0.04911170956991343,38,916.0
115.0,38,819.0,19.5,1.2808868068365917,38,1106.0,0.02473209651918549,38,1106.0
120.0,32,771.0,18.357142857142858,1.7281568904129234,32,1157.0,0.06706117855293918,32,1157.0
125.0,22,554.0,13.85,2.838085544714805,22,1048.0,0.09600193814448434,22,1048.0
130.0,16,386.0,8.772727272727273,5.733829117970393,16,844.0,0.2545758615963952,16,844.0
135.0,8,150.0,3.5714285714285716,5.987986349092082,8,885.0,0.3324137704671979,8,885.0
140.0,8,33.0,0.825,6.164804567679398,8,916.0,0.3157676641968986,8,916.0
145.0,15,93.0,2.268292682926829,4.580078460167692,15,977.0,0.23475164269139534,15,977.0
150.0,20,181.0,4.209302325581396,3.3778624366391155,20,1065.0,0.14138952163630894,20,1065.0
155.0,26,300.0,6.976744186046512,2.213420141697046,26,1184.0,0.08931678794289719,26,1184.0
160.0,34,453.0,10.295454545454545,1.7414342538171015,34,1340.0,0.026868345074035033,34,1340.0
165.0,38,638.0,13.869565217391305,2.1336411761918272,38,1525.0,0.09125864274942486,38,1525.0
170.0,38,828.0,18.4,1.9279336079528244,38,1715.0,0.1084236832021067,38,1715.0
175.0,32,777.0,18.069767441860463,1.025041644540784,32,1727.0,0.061208231982298446,32,1727.0
180.0,26,569.0,12.931818181818182,2.862018649750581,26,1566.0,0.11646239020603967,26,1566.0
185.0,18,385.0,8.75,4.73771406839266,18,1242.0,0.1548041353144558,18,1242.0
190.0,7,148.0,3.6097560975609757,5.047869349153244,7,1276.0,0.23829550105231403,7,1276.0
195.0,7,25.0,0.6410256410256411,6.0176380560382,7,1278.0,0.28119701021038085,7,1278.0
200.0,15,84.0,2.1,4.423751650200272,15,1337.0,0.19408384988015134,15,1337.0
205.0,20,174.0,4.046511627906977,3.5465690636922793,20,1428.0,0.1843283969146495,20,1428.0
210.0,27,294.0,6.533333333333333,2.8485625153869005,27,1548.0,0.12980651891495232,27,1548.0
215.0,33,444.0,9.652173913043478,2.375659275840867,33,1702.0,0.07171427828647824,33,1702.0
220.0,38,630.0,13.695652173913043,2.3553180494003936,38,1888.0,0.04714964478881409,38,1888.0
225.0,33,617.0,13.41304347826087,2.5154608530927973,33,1868.0,0.10913954733458003,33,1868.0
230.0,23,452.0,10.272727272727273,3.5965235538454148,23,1617.0,0.17475097915073168,23,1617.0
235.0,16,326.0,7.409090909090909,4.776249973265618,16,1163.0,0.16725938253314795,16,1163.0
240.0,10,156.0,3.7142857142857144,6.199331439847881,10,924.0,0.2547929338291331,10,924.0
245.0,1,2.0,0.05405405405405406,6.626273337966518,1,800.0,0.3400827092780429,1,800.0
250.0,6,21.0,0.5833333333333334,6.385069041050615,6,796.0,0.29755767358530294,6,796.0
255.0,11,63.0,1.6578947368421053,4.715126007415626,11,838.0,0.22325595180596228,11,838.0
260.0,17,134.0,3.526315789473684,3.095458601941106,17,909.0,0.1578776564236762,17,909.0
265.0,24,239.0,5.829268292682927,2.2397399724265474,24,1014.0,0.12268739936778196,24,1014.0
270.0,32,378.0,8.590909090909092,2.1871527801977275,32,1153.0,0.11881801720138138,32,1153.0
275.0,38,549.0,12.2,2.0681620151161937,38,1326.0,0.09268158809893103,38,1326.0
280.0,33,541.0,12.295454545454545,1.5503369273391139,33,1323.0,0.0563986393349688,33,1323.0
285.0,25,411.0,9.133333333333333,3.173230027055533,25,1112.0,0.11876960988108666,25,1112.0
290.0,17,290.0,6.304347826086956,5.516018430089055,17,828.0,0.2230608352797534,17,828.0
295.0,7,114.0,2.6511627906976742,5.372243215962185,7,859.0,0.2574515463656741,7,859.0
300.0,8,36.0,0.9230769230769231,5.926194244840382,8,876.0,0.28622036077665697,8,876.0
305.0,15,99.0,2.357142857142857,5.064050627174347,15,939.0,0.2357325504437752,15,939.0
310.0,16,101.0,2.4047619047619047,3.4161900285331437,16,887.0,0.1529833114792295,16,887.0
315.0,14,67.0,1.5952380952380953,3.766286398046896,14,703.0,0.17629890193985467,14,703.0
320.0,14,66.0,1.5,5.0523176239115335,14,506.0,0.19667170145071644,14,506.0
325.0,7,29.0,0.6744186046511628,5.428990131998954,7,501.0,0.23872415892071944,7,501.0
330.0,8,24.0,0.6153846153846154,6.335603879738277,8,522.0,0.29630043171841197,8,522.0
335.0,13,79.0,2.135135135135135,4.587279974175511,13,577.0,0.22243711769242133,13,577.0
340.0,20,166.0,4.256410256410256,3.0251673506336427,20,664.0,0.15646988837272832,20,664.0
345.0,29,289.0,7.048780487804878,1.8941786597043104,29,787.0,0.0738581689304206,29,787.0
350.0,35,447.0,10.902439024390244,1.0164652122959348,35,946.0,0.002097218248698243,35,946.0
355.0,38,631.0,15.390243902439025,0.9652000457968014,38,1131.0,0.02412629160812228,38,1131.0
360.0,32,619.0,15.097560975609756,1.4693714583554507,32,1175.0,0.06875073171716363,32,1175.0
365.0,22,453.0,10.785714285714286,3.5164241097787645,22,987.0,0.1374641238476256,22,987.0
370.0,15,324.0,7.534883720930233,5.803783727739463,15,771.0,0.24469790847415768,15,771.0
375.0,7,135.0,3.375,6.629001495083844,7,616.0,0.2831461563804384,7,616.0
380.0,1,1.0,0.027777777777777776,7.297555045435857,1,583.0,0.3847746554932414,1,583.0
385.0,8,23.0,0.6388888888888888,6.375055279518853,8,602.0,0.31894586449857665,8,602.0
390.0,12,69.0,1.864864864864865,4.986314665432642,12,650.0,0.2748243917118121,12,650.0
395.0,18,145.0,3.717948717948718,3.828443652307737,18,726.0,0.19648216129914722,18,726.0
400.0,24,252.0,5.6,3.0499419418014,24,833.0,0.12199104037714717,24,833.0
405.0,31,392.0,8.909090909090908,2.1803284417093973,31,975.0,0.0752018852629979,31,975.0
410.0,37,564.0,12.533333333333333,2.0835533245006763,37,1147.0,0.04853698685196735,37,1147.0
415.0,32,552.0,12.837209302325581,1.856709424116626,32,1191.0,0.051491620934537206,32,1191.0
420.0,23,405.0,10.125,2.9651644939259127,23,1011.0,0.07603176295672913,23,1011.0
425.0,15,269.0,6.560975609756097,5.505522960043357,15,819.0,0.18299007557470912,15,819.0
430.0,8,114.0,3.081081081081081,4.940434510057264,8,853.0,0.2123665883548737,8,853.0
435.0,9,37.0,1.0277777777777777,5.454681936865784,9,888.0,0.27745193731217854,9,888.0
440.0,15,97.0,2.4871794871794872,4.254052033720823,15,948.0,0.2645901797272989,15,948.0
445.0,14,91.0,2.2195121951219514,2.753577544940882,14,886.0,0.17932754056116004,14,886.0
450.0,15,70.0,1.627906976744186,3.2595907335276766,15,698.0,0.12946521827128696,15,698.0
455.0,14,66.0,1.4666666666666666,4.849686232808004,14,498.0,0.14169435019737342,14,498.0
460.0,6,19.0,0.4318181818181818,5.11666558432454,6,533.0,0.22965132364910787,6,533.0
465.0,8,28.0,0.7,5.774343484801205,8,531.0,0.28845999321470617,8,531.0
470.0,14,85.0,2.073170731707317,4.572730128537519,14,588.0,0.2054965551939728,14,588.0
475.0,20,172.0,4.0,3.116115050442127,20,675.0,0.13413395619025703,20,675.0
480.0,21,179.0,4.365853658536586,1.9064227882614158,21,682.0,0.08753550915103836,21,682.0
485.0,17,123.0,2.9285714285714284,3.3303782922036596,17,530.0,0.11405164616419433,17,530.0
490.0,17,113.0,2.6904761904761907,5.194539217905823,17,396.0,0.1512271743587593,17,396.0
495.0,8,57.0,1.425,5.497994915526085,8,431.0,0.2600591055582514,8,431.0
500.0,8,31.0,0.8857142857142857,5.373303789068305,8,459.0,0.26201590699002214,8,459.0
505.0,14,92.0,2.4210526315789473,4.1556678540484775,14,520.0,0.20603863001018907,14,520.0
510.0,21,183.0,4.575,2.4711099588951604,21,613.0,0.10153850312523506,21,613.0
515.0,21,184.0,4.487804878048781,2.160285430152335,21,598.0,0.12138678609888559,21,598.0
520.0,19,125.0,2.9761904761904763,3.113232673250158,19,546.0,0.12144016614515013,19,546.0
525.0,16,115.0,2.6744186046511627,5.099788059100733,16,437.0,0.1644389887679549,16,437.0
530.0,10,85.0,2.125,6.479345586062493,10,384.0,0.27801283796030685,10,384.0
535.0,5,49.0,1.2894736842105263,8.311834234928297,5,269.0,0.45013212586436047,5,269.0
540.0,1,2.0,0.05405405405405406,8.067091136529488,1,228.0,0.4830195497161943,1,228.0
545.0,6,21.0,0.5675675675675675,6.850884147582685,6,219.0,0.3514772061673044,6,219.0
550.0,12,69.0,1.8157894736842106,5.074811239683894,12,267.0,0.21097334622237598,12,267.0
555.0,18,146.0,3.7435897435897436,3.051117565409078,18,345.0,0.1422759564432323,18,345.0
560.0,25,257.0,6.589743589743589,1.4109910458287658,25,459.0,0.05157958423558344,25,459.0
565.0,32,403.0,10.075,1.0807614282709537,32,606.0,0.027990450467686983,32,606.0
570.0,37,578.0,13.761904761904763,1.359136156950614,37,782.0,0.05012758383613615,37,782.0
575.0,32,568.0,13.853658536585366,1.2537986731022372,32,852.0,0.07881411578739432,32,852.0
580.0,23,418.0,10.195121951219512,2.7977188179798063,23,766.0,0.09075964426413974,23,766.0
585.0,16,305.0,6.931818181818182,5.428413578089214,16,659.0,0.235360467902411,16,659.0
590.0,7,113.0,2.627906976744186,7.325924855511983,7,518.0,0.36044937868689264,7,518.0
595.0,4,42.0,1.105263157894737,8.5894262156168,4,433.0,0.4968839784599475,4,433.0
600.0,3,3.0,0.07692307692307693,7.846582047208754,3,358.0,0.48074058592179875,3,358.0
605.0,6,22.0,0.5641025641025641,7.437241271726541,6,361.0,0.40922566420280765,6,361.0
610.0,14,77.0,1.8333333333333333,5.933182636641639,14,415.0,0.31665297669622133,14,415.0
615.0,12,75.0,1.744186046511628,4.4349868353748,12,406.0,0.21795658027282944,12,406.0
620.0,10,34.0,0.7555555555555555,4.2806513860234015,10,315.0,0.16404853262072908,10,315.0
625.0,12,39.0,0.8863636363636364,5.266567088641287,12,167.0,0.1955758222521487,12,167.0
630.0,6,8.0,0.18181818181818182,5.789628750997429,6,193.0,0.29119723648478074,6,193.0
635.0,8,28.0,0.7,5.922102929259427,8,212.0,0.30069222870160306,8,212.0
640.0,13,85.0,2.073170731707317,4.800307874476449,13,269.0,0.2077511753824031,13,269.0
645.0,20,172.0,4.095238095238095,3.190680745085988,20,356.0,0.109727190657487,20,356.0
650.0,21,172.0,4.095238095238095,2.7816864610171015,21,358.0,0.09398168621081332,21,358.0
655.0,17,110.0,2.619047619047619,3.7493450995088695,17,356.0,0.14392054138258908,17,356.0
660.0,15,97.0,2.3095238095238093,5.688758883684839,15,313.0,0.22055018371850763,15,313.0
