step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.598886059833392,0,0.0,0.9600084351020828,0,0.0
10.0,0,0.0,0.0,12.769647178424686,0,0.0,0.9297752334385052,0,0.0
15.0,1,1.0,0.08333333333333333,11.680914250659256,1,1.0,0.8627367615168594,1,1.0
20.0,3,9.0,0.6,9.142334140620555,3,9.0,0.6499418597872785,3,9.0
25.0,5,32.0,1.5238095238095237,8.056430072202641,5,32.0,0.5215107408795222,5,32.0
30.0,10,73.0,3.3181818181818183,6.213534276992309,10,73.0,0.37709443088413935,10,73.0
35.0,12,131.0,5.954545454545454,4.698558497800426,12,131.0,0.21767897438667047,12,131.0
40.0,15,200.0,8.333333333333334,4.609506554236042,15,200.0,0.22773483549960885,15,200.0
45.0,18,279.0,11.16,3.271761401734503,18,279.0,0.17235037249703972,18,279.0
50.0,19,373.0,15.541666666666666,1.7528135627965937,19,373.0,0.09153615552970162,19,373.0
55.0,16,264.0,9.428571428571429,2.9687345953866853,16,392.0,0.17781036587742846,16,392.0
60.0,9,79.0,2.5483870967741935,4.8865595067261465,9,323.0,0.2070037078661162,9,323.0
65.0,4,21.0,0.6363636363636364,6.9651280434652705,4,187.0,0.28619755476117303,4,187.0
70.0,2,3.0,0.08823529411764706,7.126541058424093,2,183.0,0.3884591227404218,2,183.0
75.0,8,29.0,0.8787878787878788,6.272517983551374,8,209.0,0.34509470071846393,8,209.0
80.0,14,85.0,2.65625,4.19441752513362,14,265.0,0.2397688837596113,14,265.0
85.0,20,173.0,4.805555555555555,3.1274811973769587,20,353.0,0.14891529460732167,20,353.0
90.0,26,289.0,7.8108108108108105,2.5452191267183406,26,471.0,0.12497051733149807,26,471.0
95.0,31,435.0,10.875,2.4870195595198816,31,617.0,0.12117678555270678,31,617.0
100.0,34,597.0,13.883720930232558,2.1140643548957483,34,779.0,0.078563676775594,34,779.0
105.0,37,779.0,18.11627906976744,1.425387881745445,37,961.0,0.047707538010080444,37,961.0
110.0,38,968.0,22.0,1.68912910988146,38,1150.0,0.06975340973257442,38,1150.0
115.0,38,1158.0,26.318181818181817,1.8859710518186155,38,1340.0,0.0699904232887122,38,1340.0
120.0,38,1348.0,29.955555555555556,2.1996990784730657,38,1530.0,0.09256282706508079,38,1530.0
125.0,38,1538.0,34.17777777777778,2.236511154297765,38,1720.0,0.0909674384145234,38,1720.0
130.0,33,1372.0,30.488888888888887,1.770059131414746,33,1738.0,0.09224210947450416,33,1738.0
135.0,26,970.0,21.555555555555557,3.131580897422321,26,1589.0,0.14550986136097735,26,1589.0
140.0,16,555.0,12.065217391304348,4.9398456862171685,16,1301.0,0.19450344030703676,16,1301.0
145.0,6,175.0,4.069767441860465,4.872949780409879,6,1335.0,0.22511433747834714,6,1335.0
150.0,9,33.0,0.825,5.5249208509602,9,1338.0,0.25112799014707976,9,1338.0
155.0,14,93.0,2.268292682926829,4.838768325368512,14,1398.0,0.2096465376912641,14,1398.0
160.0,19,177.0,4.317073170731708,2.7969984092409033,19,1482.0,0.08153184537280468,19,1482.0
165.0,28,298.0,7.45,1.5044576291325087,28,1603.0,0.04040383846712142,28,1603.0
170.0,32,450.0,10.714285714285714,1.280365160126061,32,1755.0,0.050701293331926536,32,1755.0
175.0,38,634.0,15.095238095238095,1.3333071000260364,38,1939.0,0.07127746001380725,38,1939.0
180.0,33,616.0,14.0,2.0033352670932216,33,1934.0,0.10578979608912892,33,1934.0
185.0,23,449.0,9.977777777777778,3.417402572306501,23,1720.0,0.1665508584373552,23,1720.0
190.0,17,333.0,7.085106382978723,5.159169370732105,17,1328.0,0.22605445216079878,17,1328.0
195.0,8,147.0,3.1956521739130435,5.439885603484286,8,1367.0,0.2860129617831786,8,1367.0
200.0,8,29.0,0.6904761904761905,5.905147538848901,8,1384.0,0.2634715143332116,8,1384.0
205.0,13,82.0,1.8636363636363635,5.5272610037896115,13,1437.0,0.21054295404473886,13,1437.0
